rxcui;nui;drugname
45045;N0000147587;AVOBENZONE
45318;N0000147674;HALOBETASOL PROPIONATE
46041;N0000148414;ALENDRONATE
46041;N0000006657;Alendronate [Chemical/Ingredient]
46049;N0000147683;ALGLUCERASE
46049;N0000007227;alglucerase [Chemical/Ingredient]
46241;N0000147141;ALUMINUM CHLORIDE
46241;N0000006773;aluminum chloride [Chemical/Ingredient]
46243;N0000148280;ALUMINUM STEARATE
46307;N0000148519;AMLEXANOX
46307;N0000007450;amlexanox [Chemical/Ingredient]
46967;N0000148076;BERACTANT
46967;N0000006465;beractant [Chemical/Ingredient]
47070;N0000148865;BETA SITOSTEROL
47088;N0000146288;BETHANECHOL CHLORIDE
47088;N0000179321;Bethanechol Chloride [Chemical/Ingredient]
47180;N0000184201;BISMUTH TRIBROMOPHENATE
47181;N0000176105;BISMUTH SUBCITRATE
47181;N0000179322;bismuth tripotassium dicitrate [Chemical/Ingredien
47187;N0000147359;BITOLTEROL MESYLATE
47364;N0000148512;BROMFENAC SODIUM
47461;N0000022059;BUTENAFINE
47461;N0000006118;butenafine [Chemical/Ingredient]
47464;N0000146757;BUTOCONAZOLE NITRATE
47579;N0000148483;CABERGOLINE
47579;N0000006339;cabergoline [Chemical/Ingredient]
47613;N0000147604;CALCIUM (AS CITRATE)
47613;N0000147599;CALCIUM CITRATE
47613;N0000006567;Calcium Citrate [Chemical/Ingredient]
47618;N0000145877;CALCIUM GLUCEPTATE
47622;N0000146076;CALCIUM (AS LACTATE)
47622;N0000146058;CALCIUM LACTATE
47622;N0000006475;calcium lactate [Chemical/Ingredient]
47624;N0000147255;CALCIUM LEVULINATE
47627;N0000148079;CALCIUM (AS PHOSPHATE,DIBASIC)
47627;N0000146060;CALCIUM PHOSPHATE,DIBASIC
47627;N0000148182;PHOSPHORUS (AS CALCIUM PHOSPHATE,DIBASIC)
47627;N0000179323;dicalcium phosphate anhydrous [Chemical/Ingredient
47628;N0000148081;CALCIUM PHOSPHATE,TRIBASIC
47628;N0000179324;tricalcium phosphate [Chemical/Ingredient]
47633;N0000022601;CALCIUM STEARATE
47686;N0000147495;CARBAMIDE PEROXIDE
47686;N0000179325;carbamide peroxide [Chemical/Ingredient]
47835;N0000148269;CEFPODOXIME PROXETIL
47835;N0000006298;cefpodoxime proxetil [Chemical/Ingredient]
47858;N0000146950;METHSUXIMIDE
47858;N0000006594;methsuximide [Chemical/Ingredient]
47877;N0000146363;DIPHENIDOL HYDROCHLORIDE
47907;N0000148084;CETALKONIUM CHLORIDE
47998;N0000146534;CHLORAMPHENICOL SODIUM SUCCINATE
48203;N0000147772;CLAVULANATE
48203;N0000179326;Clavulanate [Chemical/Ingredient]
48212;N0000147134;CLIDINIUM BROMIDE
48274;N0000020133;ACETAMINOPHEN/PROPOXYPHENE
48305;N0000146966;COLISTIMETHATE SODIUM
48933;N0000146274;DEXAMETHASONE SODIUM PHOSPHATE
48936;N0000147143;DEXBROMPHENIRAMINE MALEATE
48937;N0000148660;DEXMEDETOMIDINE
48937;N0000007063;Dexmedetomidine [Chemical/Ingredient]
49247;N0000148648;DOFETILIDE
49247;N0000007366;dofetilide [Chemical/Ingredient]
49255;N0000147374;DOMIPHEN BROMIDE
49275;N0000148112;DOXACURIUM CHLORIDE
49276;N0000147827;DOXAZOSIN
49276;N0000007318;Doxazosin [Chemical/Ingredient]
49334;N0000166285;Durapatite [Chemical/Ingredient]
49626;N0000167073;Enoximone [Chemical/Ingredient]
49737;N0000147837;ESMOLOL
49737;N0000007249;esmolol [Chemical/Ingredient]
49953;N0000148546;TOREMIFENE CITRATE
49953;N0000179327;Toremifene Citrate [Chemical/Ingredient]
49991;N0000021053;DROPERIDOL/FENTANYL
50110;N0000147290;DICHLORODIFLUOROMETHANE
50110;N0000179329;dichlorodifluoromethane [Chemical/Ingredient]
50121;N0000148122;FLUTICASONE PROPIONATE
50166;N0000148247;FOSINOPRIL
50166;N0000006296;Fosinopril [Chemical/Ingredient]
50470;N0000147857;GLUCEPTATE
50610;N0000007256;Goserelin [Chemical/Ingredient]
50675;N0000147863;GUANIDINE
50675;N0000006899;Guanidine [Chemical/Ingredient]
50676;N0000147270;GUANIDINE HYDROCHLORIDE
50676;N0000179330;Guanidine Hydrochloride [Chemical/Ingredient]
50749;N0000022119;HALOFANTRINE
50749;N0000007140;halofantrine [Chemical/Ingredient]
50937;N0000148712;HAEMOPHILUS B
50975;N0000176176;HISTRELIN
51256;N0000148432;IBUTILIDE FUMARATE
51272;N0000022085;QUETIAPINE
51272;N0000006137;quetiapine [Chemical/Ingredient]
51428;N0000148670;INSULIN,ASPART,HUMAN/rDNA
51428;N0000179331;Insulin Aspart [Chemical/Ingredient]
51474;N0000147676;IOTROLAN
51474;N0000171578;iotrolan [Chemical/Ingredient]
51499;N0000022032;IRINOTECAN
51499;N0000006561;irinotecan [Chemical/Ingredient]
52016;N0000167067;Medetomidine [Chemical/Ingredient]
52071;N0000148143;LINOLENIC ACID
52101;N0000146306;CYCLOBENZAPRINE HYDROCHLORIDE
52105;N0000146353;LITHIUM (AS CITRATE)
52105;N0000146352;LITHIUM CITRATE
52105;N0000179333;lithium citrate [Chemical/Ingredient]
52151;N0000148358;LODOXAMIDE
52172;N0000146788;CICLOPIROX OLAMINE
52175;N0000148401;LOSARTAN
52175;N0000005774;Losartan [Chemical/Ingredient]
52177;N0000148544;LOTEPREDNOL ETABONATE
52177;N0000179334;loteprednol etabonate [Chemical/Ingredient]
52356;N0000147634;MAGNESIUM CITRATE
52356;N0000006636;magnesium citrate [Chemical/Ingredient]
52358;N0000148147;MAGNESIUM (AS GLUCONATE)
52358;N0000148148;MAGNESIUM GLUCONATE
52364;N0000146451;MAGNESIUM SALICYLATE
52364;N0000005042;Magnesium Salicylate [Chemical/Ingredient]
52403;N0000148150;MANGANESE GLUCONATE
52549;N0000146147;MENADIOL SODIUM DIPHOSPHATE
52560;N0000146922;MEPENZOLATE BROMIDE
52582;N0000147614;MESALAMINE
52582;N0000005766;Mesalamine [Chemical/Ingredient]
52769;N0000021606;MILRINONE
52769;N0000006546;Milrinone [Chemical/Ingredient]
52796;N0000148157;MIVACURIUM CHLORIDE
53017;N0000146768;HEXAFLUORENIUM BROMIDE
53553;N0000176067;NATTOKINASE
53553;N0000179335;nattokinase [Chemical/Ingredient]
53616;N0000147027;CHLOROPROCAINE HYDROCHLORIDE
53654;N0000148461;NEVIRAPINE
53654;N0000005849;Nevirapine [Chemical/Ingredient]
53750;N0000148528;NONOXYNOL-9
53750;N0000179336;Nonoxynol-9 [Chemical/Ingredient]
54034;N0000148312;OCTOXYNOL 9
54034;N0000148604;OCTOXYNOL-9
54034;N0000179337;Octoxynol-9 [Chemical/Ingredient]
54220;N0000148229;XYLOMETAZOLINE HYDROCHLORIDE
54251;N0000147118;OXYBUTYNIN CHLORIDE
54365;N0000147582;PAMABROM
54365;N0000179338;pamabrom [Chemical/Ingredient]
54421;N0000146265;TRIDIHEXETHYL CHLORIDE
54552;N0000148627;PERINDOPRIL
54552;N0000007020;Perindopril [Chemical/Ingredient]
54828;N0000147095;DEXCHLORPHENIRAMINE MALEATE
54987;N0000145902;POTASSIUM ACETATE
54987;N0000006530;Potassium Acetate [Chemical/Ingredient]
54989;N0000146661;ALUMINUM POTASSIUM SULFATE
54991;N0000022538;POTASSIUM BENZOATE
54991;N0000179339;Potassium Benzoate [Chemical/Ingredient]
54993;N0000145904;POTASSIUM CITRATE
54993;N0000006569;Potassium Citrate [Chemical/Ingredient]
55018;N0000147003;POTASSIUM PHOSPHATE,DIBASIC
55019;N0000147004;POTASSIUM PHOSPHATE,MONOBASIC
55062;N0000146333;PREDNISOLONE SODIUM PHOSPHATE
55322;N0000146806;PRALIDOXIME CHLORIDE
55471;N0000148451;RANITIDINE BISMUTH CITRATE
55471;N0000007390;ranitidine bismuth citrate [Chemical/Ingredient]
55672;N0000148321;RIFABUTIN
55672;N0000007464;Rifabutin [Chemical/Ingredient]
55681;N0000148392;RIMEXOLONE
55681;N0000007049;rimexolone [Chemical/Ingredient]
56084;N0000178492;SCHIZANDRA
56092;N0000146414;METHSCOPOLAMINE BROMIDE
56092;N0000179341;N-Methylscopolamine Bromide [Chemical/Ingredient]
56188;N0000148016;SERMORELIN
56188;N0000005453;Sermorelin [Chemical/Ingredient]
56443;N0000145830;SODIUM ACETATE
56443;N0000006527;Sodium Acetate [Chemical/Ingredient]
56446;N0000147539;SODIUM ALGINATE
56455;N0000146158;SODIUM BENZOATE
56455;N0000006712;Sodium Benzoate [Chemical/Ingredient]
56461;N0000146734;CARBENICILLIN INDANYL SODIUM
56466;N0000145851;SODIUM CITRATE
56466;N0000006379;sodium citrate [Chemical/Ingredient]
56476;N0000147007;SODIUM GLUCONATE
56489;N0000147000;SODIUM LACTATE
56489;N0000006559;Sodium Lactate [Chemical/Ingredient]
56510;N0000147675;SODIUM PHENYLACETATE
56512;N0000146572;SODIUM POLYSTYRENE SULFONATE
56513;N0000147294;SODIUM PROPIONATE
56513;N0000179342;sodium propionate [Chemical/Ingredient]
56519;N0000148373;SODIUM SELENITE
56519;N0000006253;Sodium Selenite [Chemical/Ingredient]
56570;N0000147652;SOMATREM
56570;N0000006644;somatrem [Chemical/Ingredient]
56701;N0000147415;STANNOUS TARTRATE
56795;N0000148021;SUFENTANIL
56795;N0000007169;Sufentanil [Chemical/Ingredient]
56798;N0000147619;SULCONAZOLE NITRATE
56946;N0000148314;PACLITAXEL
56946;N0000007153;Paclitaxel [Chemical/Ingredient]
57021;N0000171799;TEICOPLANIN
57021;N0000170298;Teicoplanin [Chemical/Ingredient]
57227;N0000146731;TRIMETHOBENZAMIDE HYDROCHLORIDE
57230;N0000022077;TILUDRONATE
57257;N0000176165;TIXOCORTOL
57257;N0000179344;tixocortol [Chemical/Ingredient]
57258;N0000148492;TIZANIDINE
57258;N0000007103;tizanidine [Chemical/Ingredient]
57308;N0000022037;TOPOTECAN
57308;N0000006832;Topotecan [Chemical/Ingredient]
57555;N0000146531;PRAMOXINE HYDROCHLORIDE
57789;N0000146898;FLUORESCEIN SODIUM
57789;N0000179345;Fluorescein Sodium [Chemical/Ingredient]
57983;N0000147271;TETRAHYDROZOLINE HYDROCHLORIDE
58130;N0000148563;HALOFANTRINE HYDROCHLORIDE
58157;N0000146813;PHENDIMETRAZINE TARTRATE
58275;N0000147106;AZATADINE MALEATE
58295;N0000148498;ZINC ACETATE
58295;N0000006522;Zinc Acetate [Chemical/Ingredient]
58300;N0000148330;ZINC (AS GLUCONATE)
58300;N0000148231;ZINC GLUCONATE
58932;N0000147657;SERMORELIN ACETATE
58932;N0000179347;Sermorelin Acetate [Chemical/Ingredient]
58939;N0000146799;COLLAGENASE
58939;N0000006395;Collagenases [Chemical/Ingredient]
58964;N0000147468;SUFENTANIL CITRATE
58964;N0000179348;Sufentanil Citrate [Chemical/Ingredient]
59038;N0000180857;CHITOSAN
59038;N0000168510;Chitosan [Chemical/Ingredient]
59078;N0000147110;METAXALONE
59078;N0000006436;metaxalone [Chemical/Ingredient]
59087;N0000145783;EUCALYPTUS OIL
59087;N0000156142;EUCALYPTUS OIL [VA Product]
59247;N0000147815;DIPERODON
59247;N0000179349;diperodon [Chemical/Ingredient]
59308;N0000148263;CHROMIUM PICOLINATE
59636;N0000147735;BUCLIZINE
59636;N0000005980;buclizine [Chemical/Ingredient]
59743;N0000146252;QUINETHAZONE
59743;N0000006143;quinethazone [Chemical/Ingredient]
59744;N0000148527;INTERFERON ALFACON-1
59744;N0000004938;interferon alfacon-1 [Chemical/Ingredient]
59763;N0000148369;STAVUDINE (d4T)
59763;N0000007129;Stavudine [Chemical/Ingredient]
59768;N0000148176;PEGADEMASE BOVINE
59768;N0000006084;pegademase bovine [Chemical/Ingredient]
59839;N0000148462;PENCICLOVIR
59839;N0000007265;penciclovir [Chemical/Ingredient]
59943;N0000148508;IMIQUIMOD
59943;N0000004926;imiquimod [Chemical/Ingredient]
60207;N0000021987;DORZOLAMIDE
60207;N0000006628;dorzolamide [Chemical/Ingredient]
60212;N0000148284;ATOVAQUONE
60212;N0000005848;Atovaquone [Chemical/Ingredient]
60223;N0000148452;ADAPALENE
60223;N0000006484;adapalene [Chemical/Ingredient]
60307;N0000148629;ENTACAPONE
60307;N0000004746;entacapone [Chemical/Ingredient]
60334;N0000148567;RISEDRONATE SODIUM
60548;N0000023104;EXENATIDE
60548;N0000171592;exenatide [Chemical/Ingredient]
60819;N0000148708;BIVALIRUDIN
60819;N0000010076;bivalirudin [Chemical/Ingredient]
60841;N0000171792;REBOXETINE MESYLATE
60842;N0000171791;REBOXETINE
60842;N0000179352;reboxetine [Chemical/Ingredient]
61148;N0000006646;Human Growth Hormone [Chemical/Ingredient]
61148;N0000148258;SOMATROPIN
61381;N0000148465;OLANZAPINE
61381;N0000007422;olanzapine [Chemical/Ingredient]
61609;N0000022130;ARBUTAMINE
61609;N0000006927;arbutamine [Chemical/Ingredient]
61805;N0000148727;NITISINONE
61805;N0000010149;nitisinone [Chemical/Ingredient]
62130;N0000147384;CRESOL
62130;N0000179354;cresol [Chemical/Ingredient]
62174;N0000147037;DESERPIDINE
62174;N0000007159;deserpidine [Chemical/Ingredient]
66422;N0000148019;STRYCHNINE
66422;N0000005984;Strychnine [Chemical/Ingredient]
66869;N0000147280;CASCARA SAGRADA
66869;N0000147323;CASCARA SAGRADA EXTRACT
66869;N0000006762;Cascara [Chemical/Ingredient]
66870;N0000147479;CASANTHRANOL
66870;N0000179355;Casanthranol [Chemical/Ingredient]
66887;N0000021045;EPINEPHRINE,RACEMIC
66895;N0000146527;IOXAGLATE MEGLUMINE
66895;N0000179356;Ioxaglate Meglumine [Chemical/Ingredient]
66896;N0000146528;IOXAGLATE SODIUM
66896;N0000179357;Ioxaglate Sodium [Chemical/Ingredient]
66912;N0000146951;PAROMOMYCIN SULFATE
66912;N0000179358;Paromomycin Sulfate [Chemical/Ingredient]
66925;N0000146150;PROCARBAZINE HYDROCHLORIDE
66925;N0000179360;Procarbazine Hydrochloride [Chemical/Ingredient]
66955;N0000145842;VANCOMYCIN HYDROCHLORIDE
66955;N0000179361;Vancomycin Hydrochloride [Chemical/Ingredient]
66958;N0000170360;Pristinamycin [Chemical/Ingredient]
66983;N0000147654;PIPECURONIUM BROMIDE
66983;N0000179362;Pipecuronium Bromide [Chemical/Ingredient]
67031;N0000168534;Nadroparin [Chemical/Ingredient]
67108;N0000148343;ENOXAPARIN
67108;N0000006809;Enoxaparin [Chemical/Ingredient]
67109;N0000021982;DALTEPARIN
67109;N0000168535;Dalteparin [Chemical/Ingredient]
67158;N0000148323;SUMATRIPTAN SUCCINATE
67158;N0000179363;Sumatriptan Succinate [Chemical/Ingredient]
67257;N0000022585;MYRRH
68091;N0000022087;DOLASETRON
68092;N0000176117;LANREOTIDE
68092;N0000179366;lanreotide [Chemical/Ingredient]
68099;N0000148380;FAMCICLOVIR
68099;N0000006388;famciclovir [Chemical/Ingredient]
68147;N0000022237;CETRORELIX
68147;N0000010087;cetrorelix [Chemical/Ingredient]
68149;N0000148406;MYCOPHENOLATE MOFETIL
68149;N0000005137;mycophenolate mofetil [Chemical/Ingredient]
68244;N0000148418;LAMIVUDINE
68244;N0000007380;Lamivudine [Chemical/Ingredient]
68442;N0000147669;FILGRASTIM
68442;N0000006629;Filgrastim [Chemical/Ingredient]
68446;N0000148831;PEMETREXED
68446;N0000010538;pemetrexed [Chemical/Ingredient]
68503;N0000023083;ZICONOTIDE
68503;N0000171594;ziconotide [Chemical/Ingredient]
68905;N0000148750;BORAGE OIL
68905;N0000010078;borage oil [Chemical/Ingredient]
69036;N0000171797;RUFINAMIDE
69036;N0000179367;rufinamide [Chemical/Ingredient]
69120;N0000148830;TIOTROPIUM
69120;N0000010537;tiotropium [Chemical/Ingredient]
69440;N0000148862;POLICOSANOL
69440;N0000010559;policosanol [Chemical/Ingredient]
69627;N0000148835;TEA TREE OIL
69627;N0000010540;Tea Tree Oil [Chemical/Ingredient]
69634;N0000147658;SARGRAMOSTIM
69634;N0000006328;sargramostim [Chemical/Ingredient]
69646;N0000022204;TINZAPARIN
69646;N0000006391;tinzaparin [Chemical/Ingredient]
69722;N0000148618;ZANAMIVIR
69722;N0000006453;Zanamivir [Chemical/Ingredient]
69749;N0000148456;VALSARTAN
69749;N0000006659;valsartan [Chemical/Ingredient]
69782;N0000147656;COLFOSCERIL PALMITATE
69782;N0000179368;colfosceril palmitate [Chemical/Ingredient]
70223;N0000148066;ALDESLEUKIN
70223;N0000006812;aldesleukin [Chemical/Ingredient]
70561;N0000148816;PALONOSETRON
70561;N0000010352;palonosetron [Chemical/Ingredient]
70599;N0000147009;GLUCONATE
70599;N0000147263;GLUCONIC ACID
70599;N0000179369;gluconic acid [Chemical/Ingredient]
70618;N0000147965;PENICILLIN
70618;N0000179370;Penicillin [Chemical/Ingredient]
70727;N0000148368;FIBER
71225;N0000145908;APOMORPHINE HYDROCHLORIDE
71227;N0000146212;PHENYTOIN SODIUM
71484;N0000146185;FLURAZEPAM HYDROCHLORIDE
71484;N0000179371;Flurazepam Hydrochloride [Chemical/Ingredient]
71512;N0000146350;PHENOXYBENZAMINE HYDROCHLORIDE
71512;N0000179372;Phenoxybenzamine Hydrochloride [Chemical/Ingredien
71517;N0000145897;PROPOXYPHENE HYDROCHLORIDE
71517;N0000179373;Propoxyphene Hydrochloride [Chemical/Ingredient]
71529;N0000147331;THIETHYLPERAZINE MALEATE
71529;N0000179374;Thiethylperazine Malate [Chemical/Ingredient]
71532;N0000146401;TRIMIPRAMINE MALEATE
71532;N0000179375;Trimipramine Maleate [Chemical/Ingredient]
71533;N0000146722;TRIPELENNAMINE CITRATE
71533;N0000179376;Tripelennamine Citrate [Chemical/Ingredient]
71534;N0000146863;TRIPROLIDINE HYDROCHLORIDE
71534;N0000179377;Triprolidine Hydrochloride [Chemical/Ingredient]
71535;N0000148053;VECURONIUM
71722;N0000146049;DOCUSATE SODIUM
71722;N0000179378;Dioctyl Sulfosuccinic Acid, Sodium Salt [Chemical/
72086;N0000147551;HESPERIDIN METHYL CHALCONE
72086;N0000179379;hesperidin methylchalcone [Chemical/Ingredient]
72143;N0000022103;RALOXIFENE
72143;N0000006176;Raloxifene [Chemical/Ingredient]
72236;N0000022035;FOSPHENYTOIN
72236;N0000006873;fosphenytoin [Chemical/Ingredient]
72257;N0000021905;INTERFERON BETA-1B
72257;N0000006215;interferon beta-1b [Chemical/Ingredient]
72258;N0000148347;INTERFERON BETA-1B,RECOMBINANT
72260;N0000148628;PERINDOPRIL ERBUMINE
72260;N0000179380;Perindopril Erbumine [Chemical/Ingredient]
72302;N0000022086;ROPINIROLE
72302;N0000005694;ropinirole [Chemical/Ingredient]
72385;N0000148226;WHEAT GERM OIL
72385;N0000179381;wheat germ oil [Chemical/Ingredient]
72435;N0000148718;ANAKINRA
72435;N0000179382;Anakinra [Chemical/Ingredient]
72467;N0000171802;TIRILAZAD
72467;N0000179383;tirilazad [Chemical/Ingredient]
72610;N0000148466;TROGLITAZONE
72610;N0000006957;troglitazone [Chemical/Ingredient]
72611;N0000148723;CEFDITOREN PIVOXIL
72611;N0000179384;cefditoren pivoxil [Chemical/Ingredient]
72616;N0000148375;SALMETEROL XINAFOATE
72625;N0000148860;DULOXETINE
72625;N0000010556;duloxetine [Chemical/Ingredient]
72875;N0000148361;FLUVASTATIN SODIUM
72901;N0000148495;FERUMOXIDES
72901;N0000007454;ferumoxides [Chemical/Ingredient]
72937;N0000148551;TOLCAPONE
72937;N0000006672;tolcapone [Chemical/Ingredient]
72962;N0000148441;DOCETAXEL
72962;N0000005739;docetaxel [Chemical/Ingredient]
72965;N0000148513;LETROZOLE
72965;N0000006777;letrozole [Chemical/Ingredient]
73032;N0000022045;REMIFENTANIL
73032;N0000007442;remifentanil [Chemical/Ingredient]
73044;N0000148573;REPAGLINIDE
73044;N0000006536;repaglinide [Chemical/Ingredient]
73056;N0000022126;RISEDRONATE
73137;N0000022121;TIROFIBAN
73137;N0000006285;tirofiban [Chemical/Ingredient]
73178;N0000178412;ILOPERIDONE
73494;N0000148599;TELMISARTAN
73494;N0000006703;telmisartan [Chemical/Ingredient]
73645;N0000022011;VALACYCLOVIR
73645;N0000006858;valacyclovir [Chemical/Ingredient]
73689;N0000171777;FEBUXOSTAT
73689;N0000179385;febuxostat [Chemical/Ingredient]
73710;N0000148562;PARICALCITOL
73710;N0000006044;paricalcitol [Chemical/Ingredient]
74169;N0000021903;PIPERACILLIN/TAZOBACTAM
74667;N0000148625;ZALEPLON
74667;N0000007050;zaleplon [Chemical/Ingredient]
74670;N0000148525;CORTICORELIN OVINE TRIFLUTATE
74671;N0000022089;CORTICORELIN OVINE
74671;N0000007068;corticorelin ovine [Chemical/Ingredient]
75207;N0000148726;BOSENTAN
75207;N0000010080;bosentan [Chemical/Ingredient]
75635;N0000148569;EPTIFIBATIDE
75635;N0000006179;eptifibatide [Chemical/Ingredient]
75917;N0000022030;INTERFERON BETA-1A
76895;N0000022043;RETEPLASE
76895;N0000148458;RETEPLASE,RECOMBINANT
76895;N0000007384;reteplase [Chemical/Ingredient]
77492;N0000022081;TAMSULOSIN
77492;N0000006325;tamsulosin [Chemical/Ingredient]
77655;N0000148713;ZOLEDRONIC ACID
77655;N0000179387;zoledronic acid [Chemical/Ingredient]
77754;N0000148488;FERUMOXSIL
77754;N0000007332;ferumoxsil [Chemical/Ingredient]
78484;N0000022070;DANAPAROID
78678;N0000021550;RAUWOLFIA
78902;N0000147326;SULFACYTINE
78902;N0000007270;sulfacytine [Chemical/Ingredient]
78903;N0000147744;CAPREOMYCIN
78903;N0000178639;Capreomycin [Chemical/Ingredient]
80697;N0000145808;THYROID
81782;N0000148780;SHARK CARTILAGE
81782;N0000179389;shark cartilage extract [Chemical/Ingredient]
81864;N0000148606;ALITRETINOIN
81864;N0000006664;alitretinoin [Chemical/Ingredient]
81944;N0000147085;ACYCLOVIR SODIUM
81944;N0000179390;Acyclovir Sodium [Chemical/Ingredient]
81945;N0000148299;EFLORNITHINE HYDROCHLORIDE
81945;N0000179391;Eflornithine Hydrochloride [Chemical/Ingredient]
81948;N0000148069;ALUMINUM HYDROXIDE GEL,DRIED
81948;N0000179392;Aluminum Hydroxide (Gel), Dried [Chemical/Ingredie
81949;N0000146927;AMINACRINE HYDROCHLORIDE
81949;N0000179393;Aminacrine Hydrochloride [Chemical/Ingredient]
81952;N0000147135;AMPHETAMINE SULFATE
81952;N0000179394;Amphetamine Sulfate [Chemical/Ingredient]
81953;N0000145925;AMPICILLIN SODIUM
81953;N0000179395;Ampicillin Sodium [Chemical/Ingredient]
81954;N0000147327;ANTAZOLINE HYDROCHLORIDE
81954;N0000179396;Antazoline Hydrochloride [Chemical/Ingredient]
81964;N0000176140;BETAHISTINE HYDROCHLORIDE
81964;N0000179397;Betahistine Hydrochloride [Chemical/Ingredient]
81965;N0000146448;BETAINE HYDROCHLORIDE
81965;N0000179398;Betaine Hydrochloride [Chemical/Ingredient]
81981;N0000147502;CIPROFLOXACIN HYDROCHLORIDE
81981;N0000179399;Ciprofloxacin Hydrochloride [Chemical/Ingredient]
81982;N0000146421;CLINDAMYCIN HYDROCHLORIDE
81982;N0000179400;Clindamycin Hydrochloride [Chemical/Ingredient]
81984;N0000147612;CLOMIPRAMINE HYDROCHLORIDE
81984;N0000179401;Clomipramine Hydrochloride [Chemical/Ingredient]
81985;N0000145906;COCAINE HYDROCHLORIDE
81985;N0000179402;Cocaine Hydrochloride [Chemical/Ingredient]
81990;N0000148385;CYSTEAMINE BITARTRATE
81990;N0000179403;Cysteamine Bitartrate [Chemical/Ingredient]
81992;N0000146402;DAUNORUBICIN HYDROCHLORIDE
81992;N0000179404;Daunorubicin Hydrochloride [Chemical/Ingredient]
81993;N0000146272;DEMECLOCYCLINE HYDROCHLORIDE
81993;N0000179405;Demeclocycline Hydrochloride [Chemical/Ingredient]
81997;N0000148341;DICLOFENAC POTASSIUM
81997;N0000179406;Diclofenac Potassium [Chemical/Ingredient]
81998;N0000146893;DIETHYLPROPION HYDROCHLORIDE
81998;N0000179407;Diethylpropion Hydrochloride [Chemical/Ingredient]
82001;N0000147454;DOCUSATE CALCIUM
82001;N0000179408;Dioctyl Sulfosuccinic Acid, Calcium Salt [Chemical
82002;N0000147453;DOCUSATE POTASSIUM
82002;N0000179409;Docusate Potassium [Chemical/Ingredient]
82003;N0000147823;DOCUSATE
82003;N0000179792;Dioctyl Sulfosuccinate [Chemical/Ingredient]
82004;N0000148298;DIPHENHYDRAMINE CITRATE
82004;N0000179410;Diphenhydramine Citrate [Chemical/Ingredient]
82005;N0000146230;DIPHENOXYLATE HYDROCHLORIDE
82005;N0000179411;Diphenoxylate Hydrochloride [Chemical/Ingredient]
82010;N0000146968;DOPAMINE HYDROCHLORIDE
82010;N0000179412;Dopamine Hydrochloride [Chemical/Ingredient]
82011;N0000146742;DOXAPRAM HYDROCHLORIDE
82011;N0000179413;Doxapram Hydrochloride [Chemical/Ingredient]
82012;N0000146107;DOXYCYCLINE CALCIUM
82012;N0000179414;Doxycycline Calcium [Chemical/Ingredient]
82015;N0000145849;EMETINE HYDROCHLORIDE
82015;N0000179415;Emetine Hydrochloride [Chemical/Ingredient]
82018;N0000146746;FENFLURAMINE HYDROCHLORIDE
82018;N0000179416;Fenfluramine Hydrochloride [Chemical/Ingredient]
82023;N0000147090;GUANETHIDINE MONOSULFATE
82023;N0000179417;Guanethidine Monosulfate [Chemical/Ingredient]
82027;N0000146233;HYDRALAZINE HYDROCHLORIDE
82027;N0000179418;Hydralazine Hydrochloride [Chemical/Ingredient]
82030;N0000146566;ISOPROTERENOL HYDROCHLORIDE
82030;N0000179419;Isoproterenol Hydrochloride [Chemical/Ingredient]
82031;N0000146567;ISOPROTERENOL SULFATE
82031;N0000179420;Isoproterenol Sulfate [Chemical/Ingredient]
82033;N0000146236;ISOXSUPRINE HYDROCHLORIDE
82033;N0000179421;Isoxsuprine Hydrochloride [Chemical/Ingredient]
82036;N0000146428;LINCOMYCIN HYDROCHLORIDE
82036;N0000179422;Lincomycin Hydrochloride [Chemical/Ingredient]
82038;N0000147421;LOPERAMIDE HYDROCHLORIDE
82038;N0000179423;Loperamide Hydrochloride [Chemical/Ingredient]
82041;N0000146200;MECLIZINE HYDROCHLORIDE
82041;N0000179424;Meclizine Hydrochloride [Chemical/Ingredient]
82042;N0000146372;MEPHENTERMINE SULFATE
82042;N0000179425;Mephentermine Sulfate [Chemical/Ingredient]
82043;N0000148348;LEVOMETHADYL ACETATE HYDROCHLORIDE
82043;N0000179426;Levomethadyl Acetate Hydrochloride [Chemical/Ingre
82044;N0000146805;METHAMPHETAMINE HYDROCHLORIDE
82044;N0000179427;Methamphetamine Hydrochloride [Chemical/Ingredient
82047;N0000146195;METRONIDAZOLE HYDROCHLORIDE
82047;N0000179428;Metronidazole Hydrochloride [Chemical/Ingredient]
82048;N0000146715;MEZLOCILLIN SODIUM
82048;N0000179429;Mezlocillin Sodium (Sterile) [Chemical/Ingredient]
82051;N0000146866;MOLINDONE HYDROCHLORIDE
82051;N0000179430;Molindone Hydrochloride [Chemical/Ingredient]
82054;N0000146901;NAPHAZOLINE HYDROCHLORIDE
82054;N0000179431;Naphazoline Hydrochloride [Chemical/Ingredient]
82055;N0000146145;NEOSTIGMINE BROMIDE
82055;N0000179432;Neostigmine Bromide [Chemical/Ingredient]
82057;N0000146415;NOVOBIOCIN SODIUM
82057;N0000179433;Novobiocin Sodium [Chemical/Ingredient]
82060;N0000146224;NYLIDRIN HYDROCHLORIDE
82060;N0000179434;Nylidrin Hydrochloride [Chemical/Ingredient]
82063;N0000146341;OXYCODONE HYDROCHLORIDE
82063;N0000179435;Oxycodone Hydrochloride [Chemical/Ingredient]
