unii	pt	rxcui	db_uri1	db_uri2	chebi	nui	nameAndRole
4SP3UV0V08	PYROSTEGIA VENUSTA FLOWER						
4SP93VP62P	24-CYCLOPROPYL-1.ALPHA.,3.BETA.-BIS(((1,1-DIMETHYLETHYL)DIMETHYLSILYL)OXY)-9,10-SECOCHOLA-5,7,10(19),22-TETRAEN-24-OL, (5Z,7E,22E,24S)-						
4SPH8NWM5K	RUMEX HYMENOSEPALUS SEED						
4SPJ105W8E	EUCATROPINE						
4SPS27ZB2Y	CHIMAPHILA MACULATA	1336264.0					
4SPY42YMPY	OXETHAZAINE HYDROCHLORIDE						
4SQ327I33M	ETIDRONIC ACID MONOHYDRATE						
4SR0Q8YD1X	ASPARTIC ACID, D-		http://www.drugbank.ca/drugs/DB02655	http://bio2rdf.org/drugbank:DB02655			
4SSD9X54M2	ANNONA GLABRA FRUIT						
4ST6952Q67	CETETH-7	1428865.0					
4SU5U0A96E	KUMAMOTO OYSTER						
4SU69KI68L	METHYL P-TOLUENESULFONATE						
4SV59689SK	VACCINIA VIRUS STRAIN NEW YORK CITY BOARD OF HEALTH LIVE ANTIGEN	1492300.0				N0000183917	Live Vaccinia Virus Vaccine [EPC]
4SV59689SK	VACCINIA VIRUS STRAIN NEW YORK CITY BOARD OF HEALTH LIVE ANTIGEN	1492300.0				N0000183364	Actively Acquired Immunity [PE]
4SV59689SK	VACCINIA VIRUS STRAIN NEW YORK CITY BOARD OF HEALTH LIVE ANTIGEN	1492300.0				N0000010563	Smallpox Vaccine [Chemical/Ingredient]
4SV59689SK	VACCINIA VIRUS STRAIN NEW YORK CITY BOARD OF HEALTH LIVE ANTIGEN	1492300.0				N0000183885	Vaccines, Live, Unattenuated [Chemical/Ingredient]
4SV59689SK	VACCINIA VIRUS STRAIN NEW YORK CITY BOARD OF HEALTH LIVE ANTIGEN	1492300.0				N0000183917	Live Vaccinia Virus Vaccine [EPC]
4SV59689SK	VACCINIA VIRUS STRAIN NEW YORK CITY BOARD OF HEALTH LIVE ANTIGEN	1492300.0				N0000183364	Actively Acquired Immunity [PE]
4SV59689SK	VACCINIA VIRUS STRAIN NEW YORK CITY BOARD OF HEALTH LIVE ANTIGEN	1492300.0				N0000010563	Smallpox Vaccine [Chemical/Ingredient]
4SV59689SK	VACCINIA VIRUS STRAIN NEW YORK CITY BOARD OF HEALTH LIVE ANTIGEN	1492300.0				N0000183885	Vaccines, Live [Chemical/Ingredient]
4SW243Q44Z	BENDAZAC SODIUM						
4SW5S1T63S	3-HEXENYL-2-BUTENOATE, (2E,3Z)-						
4SWR8J8ZR8	DEEPBODY BOARFISH, COOKED						
4SWT01T54O	HYDROXYISOLEUCINE						
4SXF2Q570C	1,2,3,8-TETRACHLORODIBENZO-P-DIOXIN						
4SY8H89134	ZIRCONIUM SILICATE						
4SYH0R661F	PRAMICONAZOLE						
4SZZ7J6PS7	2-DODECENAL, (2Z)-						
4T078B3Z6V	CHONDROITIN SULFATE SODIUM (CHICKEN)						
4T0HO29O56	SUPLATAST						
4T0TC14J2S	2,4,6-NONATRIENAL, (2Z,4E,6Z)-						
4T1RAI19H8	DEXAMETHASONE SODIUM METASULFOBENZOATE						
4T1TW8LE2W	HOMARUS AMERICANUS DIGESTIVE FLUID						
4T1U5N8743	O-CHLOROBENZYL METHYL SULFOXIDE						
4T235SD5XE	BAMBARA GROUNDNUT						
4T25C7H127	TIGER ROCKFISH WHOLE						
4T296B0U5O	TWISTANE						
4T2E65IAR7	CESIUM CS-137						
4T2GVA922X	HESPERIDIN METHYLCHALCONE	72086.0					
4T2Y4H1R9J	FREDERICAMYCIN C						
4T320W6K3R	EUROPEAN FLOUNDER	1426439.0					
4T34U7GO7G	CUNNER WHOLE						
4T35I32653	TALO-ZANAMIVIR						
4T36H88UA7	ARN-509						
4T3C38J78L	BUFEXAMAC				http://purl.obolibrary.org/obo/CHEBI_31317		
4T436CO8BT	D-159687						
4T4453CLX7	LEVISTICUM OFFICINALE LEAF	704942.0					
4T5L4T8473	LESOPITRON DIHYDROCHLORIDE						
4T60YRT2TG	VERRUCARIN K						
4T6H12BN9U	PETROLATUM	8091.0					
4T707CS00F	GREY FEATHERBACK						
4T76D71T6U	DIATRIZOATE SODIUM I-131						
4T77GYP2CS	GW-9508						
4T81LB52R0	LOLIUM PERENNE POLLEN	1427059.0				N0000185006	Standardized Pollen Allergenic Extract [EPC]
4T81LB52R0	LOLIUM PERENNE POLLEN	1427059.0				N0000175629	Increased Histamine Release [PE]
4T81LB52R0	LOLIUM PERENNE POLLEN	1427059.0				N0000184306	Cell-mediated Immunity [PE]
4T81LB52R0	LOLIUM PERENNE POLLEN	1427059.0				N0000185001	Increased IgG Production [PE]
4T81LB52R0	LOLIUM PERENNE POLLEN	1427059.0				N0000185000	Pollen [Chemical/Ingredient]
4T81LB52R0	LOLIUM PERENNE POLLEN	1427059.0				N0000171131	Allergens [Chemical/Ingredient]
4T81LB52R0	LOLIUM PERENNE POLLEN	852819.0				N0000185006	Standardized Pollen Allergenic Extract [EPC]
4T81LB52R0	LOLIUM PERENNE POLLEN	852819.0				N0000175629	Increased Histamine Release [PE]
4T81LB52R0	LOLIUM PERENNE POLLEN	852819.0				N0000184306	Cell-mediated Immunity [PE]
4T81LB52R0	LOLIUM PERENNE POLLEN	852819.0				N0000185001	Increased IgG Production [PE]
4T81LB52R0	LOLIUM PERENNE POLLEN	852819.0				N0000185000	Pollen [Chemical/Ingredient]
4T81LB52R0	LOLIUM PERENNE POLLEN	852819.0				N0000171131	Allergens [Chemical/Ingredient]
4T82CRD6TM	CARCAINIUM						
4T82EA86AJ	COCHLIOBOLUS LUNATUS	852264.0				N0000185372	Non-Standardized Fungal Allergenic Extract [EPC]
4T82EA86AJ	COCHLIOBOLUS LUNATUS	852264.0				N0000175629	Increased Histamine Release [PE]
4T82EA86AJ	COCHLIOBOLUS LUNATUS	852264.0				N0000184306	Cell-mediated Immunity [PE]
4T82EA86AJ	COCHLIOBOLUS LUNATUS	852264.0				N0000185001	Increased IgG Production [PE]
4T82EA86AJ	COCHLIOBOLUS LUNATUS	852264.0				N0000169106	Fungal Proteins [Chemical/Ingredient]
4T82EA86AJ	COCHLIOBOLUS LUNATUS	852264.0				N0000171131	Allergens [Chemical/Ingredient]
4T84349O1E	THIOGUANINE S-35						
4T8TH47V6R	ROSA ARKANSANA WHOLE						
4T9P49D6LC	4-HYDROXYPROPRANOLOL, (+)-						
4TB943OJYT	LILAC ALDEHYDE, (2S,2'R,5'S)-						
4TBI64EX0B	HYOSCYAMUS ALBUS WHOLE						
4TC03AB197	KDR-5169						
4TEJ30836E	RUMEX ALPINUS LEAF						
4TEW51C830	ARCHEXIN						
4TG5F7IC97	DIMETHYLAMMONIUM NITRATE						
4TGB4HYC3M	MENADIOL DISULFATE						
4TI98Z838E	ESTRADIOL	4083.0	http://www.drugbank.ca/drugs/DB00783	http://bio2rdf.org/drugbank:DB00783	http://purl.obolibrary.org/obo/CHEBI_16469	N0000011402	Estradiol Congeners [Chemical/Ingredient]
4TI98Z838E	ESTRADIOL	4083.0	http://www.drugbank.ca/drugs/DB00783	http://bio2rdf.org/drugbank:DB00783	http://purl.obolibrary.org/obo/CHEBI_16469	N0000175825	Estrogen [EPC]
4TI98Z838E	ESTRADIOL	4083.0	http://www.drugbank.ca/drugs/DB00783	http://bio2rdf.org/drugbank:DB00783	http://purl.obolibrary.org/obo/CHEBI_16469	N0000000100	Estrogen Receptor Agonists [MoA]
4TIK16VW41	CETETH-150						
4TIV4S045F	7-METHYL-4,4A,5,6-TETRAHYDRO-2(3H)-NAPHTHALENONE						
4TJV827BQT	DIPSACUS FULLONUM ROOT						
4TJZ858QD3	LYSINE KETOISOCAPROATE						
4TK5QAZ92W	PROPENYL ETHYL ETHER						
4TK6L85IBE	FINESCALE MENHADEN WHOLE						
4TKT65AM8P	FLURECOL						
4TM5EU8EBT	2,4-DIAMINOETHYLBENZENE						
4TMC1R26A5	PYROGALLOL TRIACETATE						
4TO6054RZQ	TADPOLE FISH, COOKED						
4TPC9E4A32	11-NOR-9-CARBOXY-DELTA-9-TETRAHYDROCANNABINOL						
4TQY9L619V	SORBUS AUCUPARIA FRUIT	1367305.0					
4TS6N372WQ	7-CHLORO-2-AMINOBENZOTHIAZOLE						
4TT3575T8B	CHAMAELIRIUM LUTEUM WHOLE						
4TT820HMTW	FAMOTIDINE PROPANAMIDE						
4TTL387KW9	EDETATE TETRAPOTASSIUM						
4TVX2I407K	TUMOR NECROSIS FACTOR-.ALPHA. HUMAN (PLASMA DERIVED, SOLUBLE FORM)						
4TWD2995UP	OXACILLIN SODIUM ANHYDROUS						
4TWN6SZB8W	ALICAFORSEN SODIUM						
4TX1NVU5MY	PROFLUAZOL						
4TY24FTS56	RUBOXISTAURIN MESYLATE MONOHYDRATE						
4U05831WFQ	DIANHYDROVALRUBICIN						
4U07F515LG	ELTROMBOPAG OLAMINE	735651.0					
4U0886V7AW	N-PENTYLHYDRAZINE HYDROCHLORIDE						
4U092XZF0K	TERLIPRESSIN ACETATE						
4U1571LA4B	CLEMATIS HEXAPETALA ROOT						
4U1FH45CS8	PENTAHOMOSERINE, L-		http://www.drugbank.ca/drugs/DB03105	http://bio2rdf.org/drugbank:DB03105			
4U1MSW22LY	TUBE ABALONE WHOLE						
4U1WVN6KUX	PHENAPHTHAZINE						
4U29QAW23A	PEG-6 DILAURATE						
4U2P9U9Z66	15-KETO TRAVOPROST						
4U37UX0E1E	CYCLAMEN ALDEHYDE	1376343.0					
4U3D3YY81M	TEICOPLANIN						
4U3GMG1OT1	HYDROXYPROPYL TETRAHYDROPYRANTRIOL						
4U3T32MV2I	SULTROPEN						
4U3UZ1K35N	PECTOLINARINGENIN						
4U3WU1RD0W	FLUFENISAL						
4U40Y96J1Z	INDATRALINE						
4U44XHH79H	M-(TRIFLUOROMETHYL)HYDROCINNAMIC ACID						
4U47CHZ7DL	EUROPEAN HAZELNUT						
4U4C79679G	DISODIUM CARBOXYETHYL SILICONATE	1486523.0					
4U4OEA495W	STREPTOCOCCUS VIRIDANS GROUP IMMUNOSERUM RABBIT	1367198.0					
4U4TF1C1F3	INDOMETHACIN MEGLUMINE						
4U4U81627K	.ALPHA.-FARNESENE, (3Z,6E)-						
4U4V2F2E4Y	CHINESE CINNAMON LEAF OIL	1306148.0					
4U50T0FDF3	WHITE MARLIN, COOKED						
4U541R2E6L	IODIDE ION I-129						
4U58JM421N	SERATRODAST						
4U5MP5IUD8	NIFLUMIC ACID		http://www.drugbank.ca/drugs/DB04552	http://bio2rdf.org/drugbank:DB04552			
4U5T0O9SI3	18-HYDROXYCORTICOSTERONE						
4U601365UD	SODIUM 3-OCTYLBENZENE SULFONATE						
4U680IM47R	CORDIA OBLIQUA LEAF						
4U6DG183QZ	2,5-DIETHYLTHIAZOLE						
4U6FTZ422J	HEXAMETHONIUM TARTRATE						
4U752K13RR	DICAMBA-SODIUM						
4U76J7Z2FH	(2-((1R)-1-((1S)-3,3-DIMETHYLCYCLOHEXYL)ETHOXY)-2-METHYL-PROPYL) PROPANOATE, (+/-)-						
4U7GB6KO5F	DIOSCOREA COLLETTII VAR. HYPOGLAUCA WHOLE						
4U7K4N52ZM	OXYTETRACYCLINE HYDROCHLORIDE	4780.0					
4U7K5X4ANS	EMERAMIDE						
4U82P4434C	HISTAMINE DISALICYLATE						
4U846R5P34	5-(TRIFLUOROMETHYL)URACIL						
4U8JH1NN7O	OXYPENDYL DIHYDROCHLORIDE						
4U902I8QZO	6-OXOHEPTANOIC ACID						
4U947K73Q2	TETROPHAN						
4U96TT078E	PD-171729						
4UA6QQ0XZQ	GIANT RATTAIL, COOKED						
4UCX5GAV96	PLOVAMER						
4UDG3LY0GT	CHELIDONINE, (+/-)-						
4UDO46YBK2	IPOMOEA PURGA ROOT	1309706.0					
4UF42WMK4P	REDTAIL PRAWN WHOLE						
4UFC2K6E50	BAG-956						
4UFK4WCN0W	2,3,3',4,5,6-HEXACHLORODIPHENYL ETHER						
4UG0316V9S	DIETHANOLAMINE CETYL PHOSPHATE	1363595.0					
4UG37HL44Y	THREE-EYE FLOUNDER						
4UG613F036	EDIFOLIGIDE						
4UG9O27KRV	CORYLUS COLURNA WHOLE						
4UGG1451Y3	UNDECANAL PROPYLENE GLYCOL ACETAL						
4UI31S9F33	CANARIUM INDICUM SEED OIL						
4UIU4259GA	1,6-DEHYDRO TRAMADOL, (S)-						
4UJ92RL9U7	CAPPARIS SPINOSA WHOLE						
4UJJ55KMCS	LINALOOL OXIDE						
4UO44T09QM	1,2,3,6-TETRACHLORODIBENZOFURAN						
4UP8060B7J	NEFOPAM						
4UQ3S81B25	PIBOSEROD		http://www.drugbank.ca/drugs/DB04873	http://bio2rdf.org/drugbank:DB04873			
4UQ8473K2W	BOS TAURUS HIPPOCAMPUS	1310260.0					
4UQI40E83Z	4-CYCLOHEXYLCYCLOHEXANOL						
4UQT405S4M	2,2',3,5,6,6'-HEXABROMOBIPHENYL						
4UQT464H8K	2,6-DIMETHOXYPHENOL						
4UR7N9Z9MM	SOMATORELIN						
4UTY6300OM	ADOMIPARIN SODIUM						
4UV2349L51	HUMAN CARDIAC CELL						
4UV6363I81	MEQUIDOX						
4UVK431K6B	OCTYLPARABEN						
4UVR5ZY0G2	TADPOLE MORA						
4UW0AD6MKT	N-DESMETHYLVENLAFAXINE, (R)-						
4UWR086NOA	ALLETORPHINE						
4UX6V9QM2J	BUTYL ISOVALERATE						
4V023DD7KL	PERSIMMON	1322526.0					
4V035A5L4B	PROTHOATE						
4V097WM1A8	1,6-DICHLORO-1,6-DIDEOXYFRUCTOSE						
4V0PI8N69G	MONOTRIETHANOLAMINE MYRISTOYL GLUTAMATE						
4V1629QREC	AMARANTHUS ALBUS WHOLE						
4V1PP5J0HJ	SAPONARIA OFFICINALIS WHOLE	1313686.0					
4V2F3KL0K8	ALLIUM CANADENSE VAR. MOBILENSE BULB						
4V2G75E1CK	PRUCALOPRIDE SUCCINATE						
4V2UBU7H8W	WARFARIN SODIUM ISOPROPANOL COMPLEX						
4V3F9Q018P	3,5-DINITROBENZOIC ACID						
4V3POB2675	METHYL TRICOSANOATE						
4V3R166MB3	CARUBICIN HYDROCHLORIDE						
4V3YEA4ZQH	23-DES(METHOXYIMINO)-23-((METHYLSULFANYL)METHOXY)MOXIDECTIN, (23S)-						
4V44H1O8XI	OXYPHENCYCLIMINE						
4V4BCX2QET	FENAZAFLOR						
4V4H07OJB9	STEARIC DIETHANOLAMIDE	1314285.0					
4V55I1QW8M	MYRISTAMIDOPROPYL BETAINE						
4V58V0404F	ETHYL 3-OCTENOATE						
4V59G5UW9X	ARGAN OIL	1305642.0					
4V5ZZL5UWI	(2,2-DIMETHYL-1,3-DIOXOLAN-4-YL)METHYL 5-HYDROXYDECANOATE						
4V6HU96612	PAVONININ-1						
4V6I63LW1E	TIOMOLIBDATE DIAMMONIUM						
4V76U0CZDU	ERIGERON ANNUUS FLOWER						
4V7CN33O10	RWJ-676070						
4V7M9137X9	GABEXATE						
4V7NMO33X6	ESCULAMINE						
4V80PZW03U	THIADRINE THIOCYANATE						
4V8564T36O	NIFURATRONE						
4V873H15CG	RUBIA CORDIFOLIA ROOT	1547468.0					
4V891LH5NB	DISOFENIN						
4V8ECV0NBQ	DINACICLIB						
4V90WO4ZTO	POGONOMYRMEX RUGOSUS					N0000185366	Non-Standardized Insect Venom Allergenic Extract [EPC]
4V90WO4ZTO	POGONOMYRMEX RUGOSUS					N0000175629	Increased Histamine Release [PE]
4V90WO4ZTO	POGONOMYRMEX RUGOSUS					N0000184306	Cell-mediated Immunity [PE]
4V90WO4ZTO	POGONOMYRMEX RUGOSUS					N0000185001	Increased IgG Production [PE]
4V90WO4ZTO	POGONOMYRMEX RUGOSUS					N0000007860	Insect Proteins [Chemical/Ingredient]
4V90WO4ZTO	POGONOMYRMEX RUGOSUS					N0000171468	Ant Venoms [Chemical/Ingredient]
4V90WO4ZTO	POGONOMYRMEX RUGOSUS					N0000171131	Allergens [Chemical/Ingredient]
4V9848RS5G	KX-01						
4V9P667Y2G	MOCETINOSTAT DIHYDROBROMIDE						
4V9Q0C88UK	CB-403						
4VA0BH57HU	OSMANTHUS FRAGRANS FLOWER						
4VAH9NFN2Q	IRISOLONE METHYL ETHER						
4VAS92E5WR	GOLDBAND FUSILIER WHOLE						
4VB4Y46AHD	NEON				http://purl.obolibrary.org/obo/CHEBI_33310		
4VB9HU07BC	BEVANTOLOL HYDROCHLORIDE						
4VBL6YW094	PROSULTIAMINE HYDROCHLORIDE						
4VBL71TY4Y	SAFFLOWER	1309390.0					
4VBL71TY4Y	SAFFLOWER	901195.0					
4VBP01X99F	FRANGULA PURSHIANA BARK	1350209.0					
4VBT402QNM	SODIUM THIOPHOSPHATE DODECAHYDRATE						
4VD0XMW4UP	FLUOROTESTOSTERONE PROPIONATE, 6.BETA.						
4VD1BRT7T8	PROCATEROL HYDROCHLORIDE						
4VD83UL6Y6	KEBUZONE		http://www.drugbank.ca/drugs/DB08940	http://bio2rdf.org/drugbank:DB08940			
4VDR6634UG	CYCLOHEXANEMETHANOL						
4VDX81E00W	DIETHYL (N-ACETYLAMINO)MALONATE						
4VE62Y0O29	ROSACETOL						
4VEL5V5LC0	CADMIUM NITRATE TETRAHYDRATE						
4VFX2L7EM5	MEPIVACAINE HYDROCHLORIDE	203185.0					
4VGJ4A41L2	SELFOTEL						
4VH761HOSR	HEPTANAL 1,3-GLYCERYL ACETAL						
4VN69WUP7N	SODIUM HYPOPHOSPHITE MONOHYDRATE	1311312.0					
4VNO5L64GQ	FERMAGATE ANHYDROUS						
4VNT36L0QZ	BENZOPINACOL						
4VO116QC41	SEC-MYRETH-50						
4VON5FNS3C	SODIUM METABISULFITE	36696.0					
4VP00391WX	FAWN CUSK-EEL WHOLE						
4VQL417S2G	DESMETHYLDOXEPIN HYDROCHLORIDE, (E)-						
4VS908W98L	DIETHYLHEXYL TEREPHTHALATE						
4VSE9SD62R	ETAMIPHYLLIN METHIODIDE						
4VU0JE4YSK	SODIUM TRIACETOXYBOROHYDRIDE						
4VUO1Y78RM	1-METHYLESTRA-1,3,5(10),6-TETRAENE-3,17.BETA.-DIOL						
4VW6U94XFK	ROQUEFORTINE C						
4VX7YNB537	TACRINE		http://www.drugbank.ca/drugs/DB00382	http://bio2rdf.org/drugbank:DB00382		N0000175723	Cholinesterase Inhibitor [EPC]
4VX7YNB537	TACRINE		http://www.drugbank.ca/drugs/DB00382	http://bio2rdf.org/drugbank:DB00382		N0000000177	Cholinesterase Inhibitors [MoA]
4VYG8I9DB0	HUMPBACK SNAPPER WHOLE						
4VZT670SD9	ONDELOPRAN						
4W030VS2OG	ETHYLHYDROCUPREINE						
4W0459ZA4V	CEFPROZIL	19552.0				N0000175488	Cephalosporin Antibacterial [EPC]
4W0459ZA4V	CEFPROZIL	19552.0				N0000011161	Cephalosporins [Chemical/Ingredient]
4W05RGI89B	WHITE ABALONE						
4W0IAD4I0R	4,6-DI-TERT-BUTYLRESORCINOL						
4W0XA5SY57	CETEARETH-8	1438111.0					
4W0XEF5702	FLUTRIAFOL, (+)-						
4W273O74NY	CUPHEA CARTHAGENENSIS WHOLE						
4W2P15D93M	BEPRIDIL HYDROCHLORIDE						
4W39NS61KI	PF-04691502						
4W3PGI3766	PHENYL .BETA.-D-GLUCOPYRANOSIDE						
4W3S52767M	CHILEAN HAKE						
4W3WA702WE	NEPTUNEA WHELK						
4W44B4S9OC	IDX-184						
4W4O868COE	ROUGHEYE ROCKFISH						
4W5026ZW8G	DIVINYL SULFOXIDE						
4W510UQ9ML	2-((2,6-DIBROMOPHENYL)AMINO)PHENYLACETIC ACID						
4W549FG6M5	SP-203 F-18						
4W56A32OU8	P-TERT-BUTOXYPHENOL						
4W5HDS3936	MELENGESTROL ACETATE	1537798.0					
4W5IH7FLNY	DIBUTYL SEBACATE	1363700.0					
4W601CSX19	3,4-METHYLENEDIOXYBENZYL METHYLSULFONE						
4W60D7E037	STANNOUS MEDRONATE						
4W62CL2H0O	DIHYDROABIETYL BEHENATE						
4W6461XR05	NORADRENALINE HYDROCHLORIDE						
4W6767RYFU	PORK SHOULDER HOCK, COOKED						
4W6L62S876	MUREXIDE						
4W703C46OK	AM-7359						
4W7F9B656N	BENZOIN OXIME, (E)-						
4W7LGU89CV	COBALTOCENE						
4W7N0AA8F1	2-(DIETHYLAMINO)ETHANOL HYDROCHLORIDE						
4W82FEU838	LX-623						
4W85453DSU	BACCHARIS SALICINA WHOLE						
4W85M5L9KI	METHYL TETRA-O-METHYLCARMINATE						
4W8R3URS2H	GENTAMICIN A						
4W94X1E4XQ	CORYPALMINE, (+)-						
4W981O1LXP	3-(CYCLOHEXYLAMINO)PROPANESULFONIC ACID		http://www.drugbank.ca/drugs/DB02219	http://bio2rdf.org/drugbank:DB02219			
4W9K63FION	DEXTROTHYROXINE		http://www.drugbank.ca/drugs/DB00509	http://bio2rdf.org/drugbank:DB00509	http://purl.obolibrary.org/obo/CHEBI_30659		
4W9L3S4856	AFFININ						
4WC055TBJ9	1,6,7-TRIMETHYLNAPHTHALENE						
4WC457HQ10	FERROUS PICRATE	1552631.0					
4WCI67NK8M	THIORIDAZINE HYDROCHLORIDE	203165.0					
4WCY05C0SJ	QUIPAZINE						
4WE915J1KX	SQUALAMINE LACTATE						
4WET1AWO9B	MORINGA OLEIFERA LEAF	1307834.0					
4WG8U28833	GARLIC OIL	1309210.0					
4WH3419JWD	SEC-TRIDECETH-20						
4WH993R3A6	SODIUM 2-(2-AMINOETHYL-(2-(2-OXIDO-2-OXO-ETHOXY)ETHYL)AMINO)ACETATE						
4WII3262ZC	BEFUNOLOL, (-)-						
4WJ2875Z9D	ISOSTEARYL ISONONANOATE						
4WK72K94MC	LAPATINIB DITOSYLATE ANHYDROUS						
4WLK8JC9AR	E-5-(2-IODOVINYL)-2'-DEOXYURIDINE						
4WMU8U315R	MOBECARB HYDROCHLORIDE						
4WN5NGB7KX	3-PENTEN-2-ONE						
4WPQ90N53J	1,1-DIMETHYLHYDRAZINE						
4WQQ18VL49	ATILMOTIN						
4WR9DAN53I	AMANITA PANTHERINA FRUITING BODY						
4WR9JW8F9B	2,7A-DI-EPI-PERINDOPRIL, (+/-)-						
4WRK2153H3	HYOSCYAMUS NIGER	1311152.0					
4WS3Y1CI1P	MEDMAIN						
4WTM4J036B	5-(2-HYDROXYPROPYL)-5-(1-METHYLBUTYL) BARBITURIC ACID						
4WUL962HS5	ALOPECURUS ARUNDINACEUS POLLEN					N0000185367	Non-Standardized Pollen Allergenic Extract [EPC]
4WUL962HS5	ALOPECURUS ARUNDINACEUS POLLEN					N0000175629	Increased Histamine Release [PE]
4WUL962HS5	ALOPECURUS ARUNDINACEUS POLLEN					N0000184306	Cell-mediated Immunity [PE]
4WUL962HS5	ALOPECURUS ARUNDINACEUS POLLEN					N0000185001	Increased IgG Production [PE]
4WUL962HS5	ALOPECURUS ARUNDINACEUS POLLEN					N0000185000	Pollen [Chemical/Ingredient]
4WUL962HS5	ALOPECURUS ARUNDINACEUS POLLEN					N0000171131	Allergens [Chemical/Ingredient]
4WUM31ES4U	1-NAPHTHOL-8-AMINO-3,6-DISULFONIC ACID						
4WV2575JWT	ABT-724						
4WVS5M0LGF	BUTEIN						
4WW5K53Z91	2-ACETAMIDOBIPHENYL						
4WWG03AFHL	2-CHLORO-3-(DICHLOROMETHYL)BUTENEDIOIC ACID, (2E)-						
4WWG140GWT	FLAT ANCHOVY, COOKED						
4WWW59D42P	DIBENZOYLMETHANE MONOXIME						
4WYD7I9GF4	MERIBENDAN						
4X07Z2Z1W5	PHENAMIDINE ISETHIONATE						
4X09AY71H7	TSUGA HETEROPHYLLA WHOLE						
4X0E04K44B	NICKEL CARBONATE HYDROXIDE TETRAHYDRATE						
4X0XO2ANSD	CUCURBITA FICIFOLIA SEED						
4X1142270I	1-CHLORO-1,1,2,2-TETRAFLUOROETHANE						
4X20XT15HG	3-O-ACETYLPERIPLOGENIN						
4X2356SK3W	PEG-9 ISOSTEARATE						
4X2AHU48WW	AMMONIUM HEXAFLUOROGALLATE						
4X2HYG86P1	ETHYL (3-HYDROXYPHENYL)CARBAMATE						
4X371TMK9K	DIBUTYL MALEATE	1491007.0					
4X46Q4U00Z	ISODECYL ISONONANOATE	1495073.0					
4X49Y0596W	OCTISALATE	91327.0					
4X4HLN92OT	TRIBULUS TERRESTRIS	1370988.0					
4X5200T09A	HSP-117 FREE BASE						
4X5577N3ET	OZAGREL SODIUM						
4X595G3NH7	UTH-31						
4X5EEY4ZA9	SORBETH-12 HEXACAPRYLATE						
4X5J456K8W	AGROPYRON CRISTATUM WHOLE						
4X632T29CS	OLIVE ROCKFISH						
4X6566U3SD	BISMUTH CHLORIDE						
4X67BQH578	PHOENIX RECLINATA WHOLE						
4X685BB13A	BINAPACRYL						
4X6E73CJ0Q	SPIPERONE				http://purl.obolibrary.org/obo/CHEBI_9233		
4X6JT95SYN	SAMBUCUS NIGRA WHOLE	1363730.0					
4X6S7KQ99Y	ASCLEPIAS TUBEROSA WHOLE						
4X6T64D64X	CG-400549						
4X7026A4TN	5-AMINO-N,N'-BIS(2,3-DIHYDROXYPROPYL)DIIODOBENZENE-1,3-DICARBOXAMIDE						
4X76A479AI	CALIFORNIA MUSSEL, COOKED						
4X7HA70UTT	RO-20-1274						
4X7JGS9BFY	.BETA.-GLUCOGALLIN						
4X7K2681Y7	CYCLIC PYRANOPTERIN MONOPHOSPHATE				http://purl.obolibrary.org/obo/CHEBI_52994		
4X7Y0185J3	BAMNIDAZOLE						
4X87R5T106	TIRON						
4X8VW77RZ4	RIBES GLANDULOSUM WHOLE						
4X8VZO798F	LICOPYRANOCOUMARIN						
4X93DH807M	BROWN SWEETLIPS						
4X96VV9HUQ	ENTACAPONE, (Z)-						
4X971169NL	2,2',5-TRIBROMOBIPHENYL						
4X9EPQ6FMA	OPEBACAN						
4X9O8XSJ0E	N-BUTYLMALONIC ACID						
4XBZ9J585L	TERMINALIA CATAPPA LEAF						
4XDX163P3D	TRIBUTYLTIN HYDRIDE						
4XDY25L70B	HYDROCORTISONE CYPIONATE	163524.0					
4XE0U1P5FJ	EDIFOLONE						
4XE2T9H4DH	MAROPITANT	715869.0					
4XEJ3M3WJ5	AZB-002 CATION						
4XF7PAT9H5	SPANGLED EMPEROR WHOLE						
4XFD7B36M6	ALVAMELINE						
4XFQ391SJU	MIRFENTANIL HYDROCHLORIDE						
4XGB9OUH00	KINGFISH, UNSPECIFIED						
4XI6112496	POLIHEXANIDE HYDROCHLORIDE						
4XJD212JQB	FORAMSULFURON						
4XKK0M5H9M	METHYLBENZETHONIUM CHLORIDE ANHYDROUS						
4XKL2JJ08I	ALFAPROSTOL						
4XKW2E9G3P	LY-402913						
4XO4QFV777	AMYLOPECTIN	1368128.0					
4XO6THZ0QU	OCTADECYLTRIMETHYLAMMONIUM STEARATE						
4XO7A09HQM	FOMOCAINE						
4XOE83N63A	SARGASSUM HORNERI						
4XQ5H46T3J	ANARHICHAS WOLFFISH WHOLE						
4XRL9PL02Y	PIBUTIDINE						
4XS533X38C	BETAMEPRODINE						
4XSB9A1I17	4,4'-DIMETHOXYAZOXYBENZENE, (Z)-						
4XTQ10247Y	CHERRY JUICE	1307717.0					
4XV7PTW3FZ	DIPIPROVERINE						
4XWB84090T	LOBELANINE						
4XX2ND0257	2,6-NAPHTHOHYDROQUINONE						
4XYU5U00C4	D&C BLACK NO. 2	2032.0					
4XYZ60V8IP	4-ETHYL-4-HYDROXYMETHYLOXAZOLIDINE						
4XZ79273VN	COMMON WHITEFISH						
4XZL2K0MD6	XENON XE-135						
