FDAPreferredTerm|DrugBankDrugString|CHEBI
AMIFOSTINE|Amifostine|http://purl.obolibrary.org/obo/CHEBI_2636
AMIKACIN|Amikacin|http://purl.obolibrary.org/obo/CHEBI_2637
AMILORIDE|Amiloride|http://purl.obolibrary.org/obo/CHEBI_2639
AMINEPTIN|Amineptine|http://purl.obolibrary.org/obo/CHEBI_32499
AMINEPTINE|Amineptine|http://purl.obolibrary.org/obo/CHEBI_32499
AMINOACETIC ACID|Glycine|http://purl.obolibrary.org/obo/CHEBI_15428
AMINOBENZENE|Aniline|http://purl.obolibrary.org/obo/CHEBI_17296
AMINOBENZYLPENICILLIN|Ampicillin|http://purl.obolibrary.org/obo/CHEBI_28971
AMINOCAPROIC ACID|Aminocaproic Acid|http://purl.obolibrary.org/obo/CHEBI_16586
AMINOETHANOIC ACID|Glycine|http://purl.obolibrary.org/obo/CHEBI_15428
AMINOETHYLSULFONIC ACID|2-Aminoethanesulfonic Acid|http://purl.obolibrary.org/obo/CHEBI_15891
AMINOFORMIC ACID|Carbamic Acid|http://purl.obolibrary.org/obo/CHEBI_28616
AMINOGLUTETHIMIDE|Aminoglutethimide|http://purl.obolibrary.org/obo/CHEBI_2654
AMINOLEVULINIC ACID|Aminolevulinic acid|http://purl.obolibrary.org/obo/CHEBI_17549
AMINOMETHANE|Methylamine|http://purl.obolibrary.org/obo/CHEBI_16830
AMINOPHEN|Aniline|http://purl.obolibrary.org/obo/CHEBI_17296
AMINOPHENAZONE|Aminophenazone|http://purl.obolibrary.org/obo/CHEBI_160246
AMINOPYRINE|Aminophenazone|http://purl.obolibrary.org/obo/CHEBI_160246
AMINOSALICYLIC ACID|Aminosalicylic Acid|http://purl.obolibrary.org/obo/CHEBI_27565
AMLEXANOX|Amlexanox|http://purl.obolibrary.org/obo/CHEBI_31205
AMLODIPINE|Amlodipine|http://purl.obolibrary.org/obo/CHEBI_2668
AMNESTEEM|Isotretinoin|http://purl.obolibrary.org/obo/CHEBI_6067
AMNOID|Tamibarotene|http://purl.obolibrary.org/obo/CHEBI_32181
AMODIAQUINE|Amodiaquine|http://purl.obolibrary.org/obo/CHEBI_2674
AMOXAPINE|Amoxapine|http://purl.obolibrary.org/obo/CHEBI_2675
AMOXICILLIN|Amoxicillin|http://purl.obolibrary.org/obo/CHEBI_2676
AMOXICILLIN ANHYDROUS|Amoxicillin|http://purl.obolibrary.org/obo/CHEBI_2676
AMOXICILLINE|Amoxicillin|http://purl.obolibrary.org/obo/CHEBI_2676
AMOXYCILLIN|Amoxicillin|http://purl.obolibrary.org/obo/CHEBI_2676
AMP|Ampicillin|http://purl.obolibrary.org/obo/CHEBI_28971
AMPA|AMPA|http://purl.obolibrary.org/obo/CHEBI_28812
AMPICILLIN|Ampicillin|http://purl.obolibrary.org/obo/CHEBI_28971
AMPICILLIN ANHYDROUS|Ampicillin|http://purl.obolibrary.org/obo/CHEBI_28971
AMPYRA|Dalfampridine |http://purl.obolibrary.org/obo/CHEBI_34385
AMYL NITRITE|Amyl Nitrite|http://purl.obolibrary.org/obo/CHEBI_55344
AMYTAL|Amobarbital|http://purl.obolibrary.org/obo/CHEBI_2673
ANASTROZOLE|Anastrozole|http://purl.obolibrary.org/obo/CHEBI_2704
ANCHOIC ACID|Azelaic Acid|http://purl.obolibrary.org/obo/CHEBI_48131
ANDRODERM|Testosterone|http://purl.obolibrary.org/obo/CHEBI_17347
ANDROID|Methyltestosterone|http://purl.obolibrary.org/obo/CHEBI_27436
ANDROSTANOLONE|Dihydrotestosterone|http://purl.obolibrary.org/obo/CHEBI_16330
ANDROSTENEDIONE|4-Androstenedione|http://purl.obolibrary.org/obo/CHEBI_16422
ANEXATE|Flumazenil|http://purl.obolibrary.org/obo/CHEBI_5103
ANHYDROTETRACYCLINE|Tetracycline|http://purl.obolibrary.org/obo/CHEBI_27902
ANHYDROUS AMPICILLIN|Ampicillin|http://purl.obolibrary.org/obo/CHEBI_28971
ANHYDROUS CAFFEINE|Caffeine|http://purl.obolibrary.org/obo/CHEBI_27732
ANHYDROUS LACTOSE|Lactose|http://purl.obolibrary.org/obo/CHEBI_36219
ANIDULAFUNGIN|Anidulafungin|http://purl.obolibrary.org/obo/CHEBI_55346
ANILERIDINE|Anileridine|http://purl.obolibrary.org/obo/CHEBI_61203
ANISINDIONE|Anisindione|http://purl.obolibrary.org/obo/CHEBI_133809
ANISOMYCIN|ANISOMYCIN|http://purl.obolibrary.org/obo/CHEBI_338412
ANS|1-Anilino-8-Naphthalene Sulfonate|http://purl.obolibrary.org/obo/CHEBI_39708
ANSAID|Flurbiprofen|http://purl.obolibrary.org/obo/CHEBI_5130
ANSPOR|Cefradine|http://purl.obolibrary.org/obo/CHEBI_3547
ANTHROPODEOXYCHOLIC ACID|Chenodeoxycholic acid|http://purl.obolibrary.org/obo/CHEBI_16755
ANTHROPODESOXYCHOLIC ACID|Chenodeoxycholic acid|http://purl.obolibrary.org/obo/CHEBI_16755
ANTILIRIUM|Physostigmine|http://purl.obolibrary.org/obo/CHEBI_27953
ANTIZOL|Fomepizole|http://purl.obolibrary.org/obo/CHEBI_5141
APIXABAN|Apixaban|http://purl.obolibrary.org/obo/CHEBI_72296
APOPLON|Reserpine|http://purl.obolibrary.org/obo/CHEBI_28487
APOPRIL|Captopril|http://purl.obolibrary.org/obo/CHEBI_3380
APREPITANT|Aprepitant|http://purl.obolibrary.org/obo/CHEBI_499361
ARALEN|Chloroquine|http://purl.obolibrary.org/obo/CHEBI_3638
ARBEKACIN|Arbekacin|http://purl.obolibrary.org/obo/CHEBI_37922
ARBUTAMINE|Arbutamine|http://purl.obolibrary.org/obo/CHEBI_50580
ARFORMOTEROL|Arformoterol|http://purl.obolibrary.org/obo/CHEBI_408174
ARIPIPRAZOLE|Aripiprazole|http://purl.obolibrary.org/obo/CHEBI_31236
ARIXTRA|Fondaparinux sodium|http://purl.obolibrary.org/obo/CHEBI_31632
ARTEMETHER|Artemether|http://purl.obolibrary.org/obo/CHEBI_195280
ASA|Acetylsalicylic acid|http://purl.obolibrary.org/obo/CHEBI_15365
ASACOL|Mesalazine|http://purl.obolibrary.org/obo/CHEBI_6775
ASENAPINE|Asenapine|http://purl.obolibrary.org/obo/CHEBI_71253
ASPARAGINE|L-Asparagine|http://purl.obolibrary.org/obo/CHEBI_17196
ASPARTAME|Aspartame|http://purl.obolibrary.org/obo/CHEBI_2877
ASPARTIC ACID|L-Aspartic Acid|http://purl.obolibrary.org/obo/CHEBI_17053
ASPIRIN|Acetylsalicylic acid|http://purl.obolibrary.org/obo/CHEBI_15365
ASTEMIZOLE|Astemizole|http://purl.obolibrary.org/obo/CHEBI_2896
ATAZANAVIR|Atazanavir|http://purl.obolibrary.org/obo/CHEBI_37924
ATOVAQUONE|Atovaquone|http://purl.obolibrary.org/obo/CHEBI_575568
AUBAGIO|Teriflunomide|http://purl.obolibrary.org/obo/CHEBI_68540
AURANOFIN|Auranofin|http://purl.obolibrary.org/obo/CHEBI_2922
AVAGE|Tazarotene|http://purl.obolibrary.org/obo/CHEBI_32184
AVANAFIL|Avanafil|http://purl.obolibrary.org/obo/CHEBI_66876
AVAPRO|Irbesartan|http://purl.obolibrary.org/obo/CHEBI_5959
AVENTYL|Nortriptyline|http://purl.obolibrary.org/obo/CHEBI_7640
AXITINIB|Axitinib|http://purl.obolibrary.org/obo/CHEBI_66910
AZACITIDINE|Azacitidine|http://purl.obolibrary.org/obo/CHEBI_2038
AZACTAM|Aztreonam|http://purl.obolibrary.org/obo/CHEBI_161680
AZAPROPAZONE|AZAPROPAZONE|http://purl.obolibrary.org/obo/CHEBI_38010
AZATADINE|Azatadine|http://purl.obolibrary.org/obo/CHEBI_2946
AZELASTINE|Azelastine|http://purl.obolibrary.org/obo/CHEBI_2950
AZELEX|Azelaic Acid|http://purl.obolibrary.org/obo/CHEBI_48131
AZIDOTHYMIDINE|Zidovudine|http://purl.obolibrary.org/obo/CHEBI_10110
AZILSARTAN MEDOXOMIL|Azilsartan medoxomil|http://purl.obolibrary.org/obo/CHEBI_68845
AZLOCILLIN|Azlocillin|http://purl.obolibrary.org/obo/CHEBI_2956
AZOPT|Brinzolamide|http://purl.obolibrary.org/obo/CHEBI_3176
AZT|Zidovudine|http://purl.obolibrary.org/obo/CHEBI_10110
AZTREONAM|Aztreonam|http://purl.obolibrary.org/obo/CHEBI_161680
AZULFIDINE|Sulfasalazine|http://purl.obolibrary.org/obo/CHEBI_9334
BACAMPICILLIN|Bacampicillin|http://purl.obolibrary.org/obo/CHEBI_2968
BACLOFEN|Baclofen|http://purl.obolibrary.org/obo/CHEBI_2972
BAKING SODA|Sodium bicarbonate|http://purl.obolibrary.org/obo/CHEBI_32139
BALSALAZIDE|Balsalazide|http://purl.obolibrary.org/obo/CHEBI_267413
BAMBUTEROL|Bambuterol|http://purl.obolibrary.org/obo/CHEBI_553827
BARBITAL|Barbital|http://purl.obolibrary.org/obo/CHEBI_31252
BARBITONE|Barbital|http://purl.obolibrary.org/obo/CHEBI_31252
BECLOMETASONE|Beclomethasone|http://purl.obolibrary.org/obo/CHEBI_3001
BEDAQUILINE|Bedaquiline|http://purl.obolibrary.org/obo/CHEBI_72292
BEFAR|Alprostadil|http://purl.obolibrary.org/obo/CHEBI_15544
BEHENIC ALCOHOL|Docosanol|http://purl.obolibrary.org/obo/CHEBI_31000
BEHENYL ALCOHOL|Docosanol|http://purl.obolibrary.org/obo/CHEBI_31000
BEMIPARIN|Heparin|http://purl.obolibrary.org/obo/CHEBI_28304
BENDROFLUAZIDE|Bendroflumethiazide|http://purl.obolibrary.org/obo/CHEBI_3013
BENFLUMETOL|Lumefantrine|http://purl.obolibrary.org/obo/CHEBI_156095
BENOXINATE|Oxybuprocaine|http://purl.obolibrary.org/obo/CHEBI_309594
BENTIROMIDE|Bentiromide|http://purl.obolibrary.org/obo/CHEBI_31263
BENZATROPINE|Benzatropine|http://purl.obolibrary.org/obo/CHEBI_3048
BENZENAMINE|Aniline|http://purl.obolibrary.org/obo/CHEBI_17296
BENZENEACETALDEHYDE|Phenylacetaldehyde|http://purl.obolibrary.org/obo/CHEBI_16424
BENZENECARBOXYLIC ACID|Benzoic Acid|http://purl.obolibrary.org/obo/CHEBI_30746
BENZENEETHANOL|2-Phenyl-Ethanol|http://purl.obolibrary.org/obo/CHEBI_49000
BENZENEMETHANOL|Benzyl alcohol|http://purl.obolibrary.org/obo/CHEBI_17987
BENZENEPROPANOIC ACID|3-phenylpropionic acid|http://purl.obolibrary.org/obo/CHEBI_28631
BENZFETAMINE|Benzphetamine|http://purl.obolibrary.org/obo/CHEBI_3044
BENZOCAINE|Benzocaine|http://purl.obolibrary.org/obo/CHEBI_116735
BENZONATATE|Benzonatate|http://purl.obolibrary.org/obo/CHEBI_3032
BENZOSULFONAZOLE|BENZOTHIAZOLE|http://purl.obolibrary.org/obo/CHEBI_45993
BENZOTHIAZIDE|Benzthiazide|http://purl.obolibrary.org/obo/CHEBI_3047
BENZOYLECGONINE|Benzoylecgonine|http://purl.obolibrary.org/obo/CHEBI_41001
BENZOYLFORMIC ACID|Benzoylformic Acid|http://purl.obolibrary.org/obo/CHEBI_18280
BENZQUINAMIDE|Benzquinamide|http://purl.obolibrary.org/obo/CHEBI_27662
BENZTHIAZIDE|Benzthiazide|http://purl.obolibrary.org/obo/CHEBI_3047
BENZTROPINE|Benzatropine|http://purl.obolibrary.org/obo/CHEBI_3048
BENZYL CYANIDE|Metamizole|http://purl.obolibrary.org/obo/CHEBI_25979
BENZYLPENICILLIN|Benzylpenicillin|http://purl.obolibrary.org/obo/CHEBI_18208
BEPADIN|Bepridil|http://purl.obolibrary.org/obo/CHEBI_3061
BEPOTASTINE|Bepotastine|http://purl.obolibrary.org/obo/CHEBI_71204
BETAHISTINE|Betahistine|http://purl.obolibrary.org/obo/CHEBI_35677
BETAMETHASONE|Betamethasone|http://purl.obolibrary.org/obo/CHEBI_3077
BETANIDINE|Bethanidine|http://purl.obolibrary.org/obo/CHEBI_37937
BETAXOLOL|Betaxolol|http://purl.obolibrary.org/obo/CHEBI_3082
BETAZOLE|Betazole|http://purl.obolibrary.org/obo/CHEBI_59170
BETOTASTINE|Bepotastine|http://purl.obolibrary.org/obo/CHEBI_71204
BEVANTOLOL|Bevantolol|http://purl.obolibrary.org/obo/CHEBI_238698
BEXAROTENE|Bexarotene|http://purl.obolibrary.org/obo/CHEBI_50859
BEZAFIBRATE|Bezafibrate|http://purl.obolibrary.org/obo/CHEBI_47612
BICHLORACETIC ACID|Dichloroacetic Acid|http://purl.obolibrary.org/obo/CHEBI_36386
BILINEURINE|Choline|http://purl.obolibrary.org/obo/CHEBI_15354
BIMATOPROST|Bimatoprost|http://purl.obolibrary.org/obo/CHEBI_51230
BIPERIDEN|Biperiden|http://purl.obolibrary.org/obo/CHEBI_3112
BIS(DIETHYLTHIOCARBAMOYL) DISULFIDE|Disulfiram|http://purl.obolibrary.org/obo/CHEBI_4659
BISMUTH OXIDE SALICYLATE|Bismuth Subsalicylate|http://purl.obolibrary.org/obo/CHEBI_261649
BISOPROLOL|Bisoprolol|http://purl.obolibrary.org/obo/CHEBI_3127
BITHIN|Bithionol|http://purl.obolibrary.org/obo/CHEBI_3131
BITOLTEROL|Bitolterol|http://purl.obolibrary.org/obo/CHEBI_3133
BLOPRESS|Candesartan|http://purl.obolibrary.org/obo/CHEBI_3347
BMS-354825|Dasatinib|http://purl.obolibrary.org/obo/CHEBI_49375
BMS-562247|Apixaban|http://purl.obolibrary.org/obo/CHEBI_72296
BMS-562247-01|Apixaban|http://purl.obolibrary.org/obo/CHEBI_72296
BOCEPREVIR|Boceprevir |http://purl.obolibrary.org/obo/CHEBI_68621
BOLDENONE|Boldenone|http://purl.obolibrary.org/obo/CHEBI_34584
BORTEZOMIB|Bortezomib|http://purl.obolibrary.org/obo/CHEBI_52717
BOSENTAN|Bosentan|http://purl.obolibrary.org/obo/CHEBI_51450
BRIMONIDINE|Brimonidine|http://purl.obolibrary.org/obo/CHEBI_3175
BRL-42810|Famciclovir|http://purl.obolibrary.org/obo/CHEBI_4974
BRL-49653|Rosiglitazone|http://purl.obolibrary.org/obo/CHEBI_50122
BROMAT|Cetyl-Trimethyl-Ammonium|http://purl.obolibrary.org/obo/CHEBI_3567
BROMAZINE|Bromodiphenhydramine|http://purl.obolibrary.org/obo/CHEBI_59177
BROMFENAC|Bromfenac|http://purl.obolibrary.org/obo/CHEBI_240107
BROMOCRIPTINE|Bromocriptine|http://purl.obolibrary.org/obo/CHEBI_3181
BROMODIPHENHYDRAMINE|Bromodiphenhydramine|http://purl.obolibrary.org/obo/CHEBI_59177
BROMPHENIRAMINE|Brompheniramine|http://purl.obolibrary.org/obo/CHEBI_3183
BUCLIZINE|Buclizine|http://purl.obolibrary.org/obo/CHEBI_3205
BUDESONIDE|Budesonide|http://purl.obolibrary.org/obo/CHEBI_3207
BUFOTENINE|Bufotenine|http://purl.obolibrary.org/obo/CHEBI_3210
BUMETANIDE|Bumetanide|http://purl.obolibrary.org/obo/CHEBI_3213
BUPIVACAINE|Bupivacaine|http://purl.obolibrary.org/obo/CHEBI_3215
BUPRENORPHINE|Buprenorphine|http://purl.obolibrary.org/obo/CHEBI_3216
BUSPIRONE|Buspirone|http://purl.obolibrary.org/obo/CHEBI_3223
BUSULFAN|Busulfan|http://purl.obolibrary.org/obo/CHEBI_28901
BUTALBITAL|Butalbital|http://purl.obolibrary.org/obo/CHEBI_102524
BUTANOIC ACID|Butanoic Acid|http://purl.obolibrary.org/obo/CHEBI_30772
BUTANOIC ACID, AMIDE|Butyramide|http://purl.obolibrary.org/obo/CHEBI_50724
BUTENAFINE|Butenafine|http://purl.obolibrary.org/obo/CHEBI_3238
BUTORPHANOL|Butorphanol|http://purl.obolibrary.org/obo/CHEBI_3242
BUTYLAMINE|Butylamine|http://purl.obolibrary.org/obo/CHEBI_43799
BUTYLDEOXYNOJIRIMYCIN|Miglustat|http://purl.obolibrary.org/obo/CHEBI_50381
BUTYRAMIDE|Butyramide|http://purl.obolibrary.org/obo/CHEBI_50724
BUTYRINE|Alpha-Aminobutyric Acid|http://purl.obolibrary.org/obo/CHEBI_35621
BUTYROLACTONE|4-Butyrolactone|http://purl.obolibrary.org/obo/CHEBI_42639
CABAZITAXEL|Cabazitaxel|http://purl.obolibrary.org/obo/CHEBI_63584
CABERGOLINE|Cabergoline|http://purl.obolibrary.org/obo/CHEBI_3286
CAERULEIN|Ceruletide|http://purl.obolibrary.org/obo/CHEBI_59219
CALCIFEDIOL|Calcidiol|http://purl.obolibrary.org/obo/CHEBI_17933
CALCIFEDIOL ANHYDROUS|Calcidiol|http://purl.obolibrary.org/obo/CHEBI_17933
CALCIFEROL|Ergocalciferol|http://purl.obolibrary.org/obo/CHEBI_28934
CALCIJEX|Calcitriol|http://purl.obolibrary.org/obo/CHEBI_17823
CALCIPOTRIENE|Calcipotriol|http://purl.obolibrary.org/obo/CHEBI_50749
CALCIPOTRIOL|Calcipotriol|http://purl.obolibrary.org/obo/CHEBI_50749
CALCITRIOL|Calcitriol|http://purl.obolibrary.org/obo/CHEBI_17823
CALCIUM|Calcium|http://purl.obolibrary.org/obo/CHEBI_22984
CALCIUM CHLORIDE ANHYDROUS|Calcium Chloride|http://purl.obolibrary.org/obo/CHEBI_3312
CAMILA|Norethindrone|http://purl.obolibrary.org/obo/CHEBI_7627
CANASA|Mesalazine|http://purl.obolibrary.org/obo/CHEBI_6775
CANDOXATRIL|Candoxatril|http://purl.obolibrary.org/obo/CHEBI_3353
CANE SUGAR|Sucrose|http://purl.obolibrary.org/obo/CHEBI_17992
CANNABISCETIN|Myricetin|http://purl.obolibrary.org/obo/CHEBI_18152
CAPECITABINE|Capecitabine|http://purl.obolibrary.org/obo/CHEBI_31348
CAPOTEN|Captopril|http://purl.obolibrary.org/obo/CHEBI_3380
CAPTOPRIL|Captopril|http://purl.obolibrary.org/obo/CHEBI_3380
CARBACHOL|Carbachol|http://purl.obolibrary.org/obo/CHEBI_3385
CARBAGLU|Carglumic Acid|http://purl.obolibrary.org/obo/CHEBI_71028
CARBAMAZEPINE|Carbamazepine|http://purl.obolibrary.org/obo/CHEBI_3387
CARBAMIDE|Urea|http://purl.obolibrary.org/obo/CHEBI_16199
CARBAZOLE|9H-CARBAZOLE|http://purl.obolibrary.org/obo/CHEBI_27543
CARBENICILLIN|Carbenicillin|http://purl.obolibrary.org/obo/CHEBI_3393
CARBETOCIN|Carbetocin|http://purl.obolibrary.org/obo/CHEBI_59204
CARBIDOPA|Carbidopa|http://purl.obolibrary.org/obo/CHEBI_3395
CARBINOXAMINE|Carbinoxamine|http://purl.obolibrary.org/obo/CHEBI_3398
CARBOCAINE|Mepivacaine|http://purl.obolibrary.org/obo/CHEBI_6759
CARBOLIC ACID|Phenol|http://purl.obolibrary.org/obo/CHEBI_15882
CARBONIC ACID MONOSODIUM SALT|Sodium bicarbonate|http://purl.obolibrary.org/obo/CHEBI_32139
CARBOPROST TROMETAMOL|Carboprost Tromethamine|http://purl.obolibrary.org/obo/CHEBI_3404
CARDILATE|Pindolol|http://purl.obolibrary.org/obo/CHEBI_8214
CARFENAZINE|Carphenazine|http://purl.obolibrary.org/obo/CHEBI_51235
CARFENTANIL|Carfentanil|http://purl.obolibrary.org/obo/CHEBI_61084
CARFILZOMIB|Carfilzomib |http://purl.obolibrary.org/obo/CHEBI_65347
CARGLUMIC ACID|Carglumic Acid|http://purl.obolibrary.org/obo/CHEBI_71028
CARISOPRODOL|Carisoprodol|http://purl.obolibrary.org/obo/CHEBI_3419
CARNITOR|L-Carnitine|http://purl.obolibrary.org/obo/CHEBI_16347
CARPROFEN|Carprofen|http://purl.obolibrary.org/obo/CHEBI_364453
CARTEOLOL|Carteolol|http://purl.obolibrary.org/obo/CHEBI_3437
CARVEDILOL|Carvedilol|http://purl.obolibrary.org/obo/CHEBI_3441
CARVISKEN|Pindolol|http://purl.obolibrary.org/obo/CHEBI_8214
CASPOFUNGIN|Caspofungin|http://purl.obolibrary.org/obo/CHEBI_474180
CAVERJECT|Alprostadil|http://purl.obolibrary.org/obo/CHEBI_15544
CEFACLOR ANHYDROUS|Cefaclor|http://purl.obolibrary.org/obo/CHEBI_3478
CEFADROXIL ANHYDROUS|Cefadroxil|http://purl.obolibrary.org/obo/CHEBI_3479
CEFALEXIN|Cephalexin|http://purl.obolibrary.org/obo/CHEBI_3534
CEFALOTIN|Cefalotin|http://purl.obolibrary.org/obo/CHEBI_124991
CEFAMANDOLE|Cefamandole|http://purl.obolibrary.org/obo/CHEBI_3480
CEFAPIRIN|Cefapirin|http://purl.obolibrary.org/obo/CHEBI_554446
CEFAZOLIN|Cefazolin|http://purl.obolibrary.org/obo/CHEBI_474053
CEFDINIR|Cefdinir|http://purl.obolibrary.org/obo/CHEBI_3485
CEFDITOREN|Cefditoren|http://purl.obolibrary.org/obo/CHEBI_59343
CEFEPIME|Cefepime|http://purl.obolibrary.org/obo/CHEBI_478164
CEFIXIME|Cefixime|http://purl.obolibrary.org/obo/CHEBI_472657
CEFIZOX|Ceftizoxime|http://purl.obolibrary.org/obo/CHEBI_553473
CEFMENOXIME|Cefmenoxime|http://purl.obolibrary.org/obo/CHEBI_55490
CEFMETAZOLE|Cefmetazole|http://purl.obolibrary.org/obo/CHEBI_3489
CEFONICID|Cefonicid|http://purl.obolibrary.org/obo/CHEBI_3491
CEFOPERAZONE|Cefoperazone|http://purl.obolibrary.org/obo/CHEBI_3493
CEFORANIDE|Ceforanide|http://purl.obolibrary.org/obo/CHEBI_3495
CEFOTAXIME|Cefotaxime|http://purl.obolibrary.org/obo/CHEBI_204928
CEFOTETAN|Cefotetan|http://purl.obolibrary.org/obo/CHEBI_3499
CEFOTIAM|Cefotiam|http://purl.obolibrary.org/obo/CHEBI_355510
CEFOXITIN|Cefoxitin|http://purl.obolibrary.org/obo/CHEBI_209807
CEFPIRAMIDE|Cefpiramide|http://purl.obolibrary.org/obo/CHEBI_59213
CEFPROZIL ANHYDROUS|Cefprozil|http://purl.obolibrary.org/obo/CHEBI_3506
CEFRADINE|Cefradine|http://purl.obolibrary.org/obo/CHEBI_3547
CEFTAZIDIME|Ceftazidime|http://purl.obolibrary.org/obo/CHEBI_3508
CEFTAZIDIME ANHYDROUS|Ceftazidime|http://purl.obolibrary.org/obo/CHEBI_3508
CEFTIBUTEN|Ceftibuten|http://purl.obolibrary.org/obo/CHEBI_3510
CEFTIZOXIME|Ceftizoxime|http://purl.obolibrary.org/obo/CHEBI_553473
CEFTRIAXONE|Ceftriaxone|http://purl.obolibrary.org/obo/CHEBI_29007
CEFUROXIME|Cefuroxime|http://purl.obolibrary.org/obo/CHEBI_3515
CELLOSOLVE|2-Ethoxyethanol|http://purl.obolibrary.org/obo/CHEBI_46788
CEPHALOTHIN|Cefalotin|http://purl.obolibrary.org/obo/CHEBI_124991
CERIVASTATIN|Cerivastatin|http://purl.obolibrary.org/obo/CHEBI_3558
CERTOPARIN|Heparin|http://purl.obolibrary.org/obo/CHEBI_28304
CERULETIDE|Ceruletide|http://purl.obolibrary.org/obo/CHEBI_59219
CETAB|Cetyl-Trimethyl-Ammonium|http://purl.obolibrary.org/obo/CHEBI_3567
CETIRIZINE|Cetirizine|http://purl.obolibrary.org/obo/CHEBI_3561
CETRIMIDE|Cetyl-Trimethyl-Ammonium|http://purl.obolibrary.org/obo/CHEBI_3567
CETRIMONIUM BROMIDE|Cetyl-Trimethyl-Ammonium|http://purl.obolibrary.org/obo/CHEBI_3567
CETRORELIX|Cetrorelix|http://purl.obolibrary.org/obo/CHEBI_59224
CETYL TRIMETHYL AMMONIUM BROMIDE|Cetyl-Trimethyl-Ammonium|http://purl.obolibrary.org/obo/CHEBI_3567
CETYLIC ACID|Palmitic Acid|http://purl.obolibrary.org/obo/CHEBI_15756
CEVIMELINE|Cevimeline|http://purl.obolibrary.org/obo/CHEBI_3568
CHENIC ACID|Chenodeoxycholic acid|http://purl.obolibrary.org/obo/CHEBI_16755
CHENIX|Chenodeoxycholic acid|http://purl.obolibrary.org/obo/CHEBI_16755
CHENODEOXYCHOLYLGLYCINE|Glycochenodeoxycholic Acid|http://purl.obolibrary.org/obo/CHEBI_36274
CHENODEOXYGLYCOCHOLIC ACID|Glycochenodeoxycholic Acid|http://purl.obolibrary.org/obo/CHEBI_36274
CHENODIOL|Chenodeoxycholic acid|http://purl.obolibrary.org/obo/CHEBI_16755
CHLORAMPHENICOL|Chloramphenicol|http://purl.obolibrary.org/obo/CHEBI_17698
CHLORAMPHENICOLUM|Chloramphenicol|http://purl.obolibrary.org/obo/CHEBI_17698
CHLORDIAZEPOXIDE|Chlordiazepoxide|http://purl.obolibrary.org/obo/CHEBI_3611
CHLORGUANIDE|Proguanil|http://purl.obolibrary.org/obo/CHEBI_8455
CHLORIDINE|Pyrimethamine|http://purl.obolibrary.org/obo/CHEBI_8673
CHLORIMIPRAMINE|Clomipramine|http://purl.obolibrary.org/obo/CHEBI_47780
CHLORMERODRIN|Chlormerodrin|http://purl.obolibrary.org/obo/CHEBI_59445
CHLORMETHINE|Mechlorethamine|http://purl.obolibrary.org/obo/CHEBI_28925
CHLORMEZANONE|Chlormezanone|http://purl.obolibrary.org/obo/CHEBI_3619
CHLOROGUANIDE|Proguanil|http://purl.obolibrary.org/obo/CHEBI_8455
CHLOROMYCETIN|Chloramphenicol|http://purl.obolibrary.org/obo/CHEBI_17698
CHLOROPHYLL|Chlorophyll A|http://purl.obolibrary.org/obo/CHEBI_18230
CHLOROPROCAINE|Chloroprocaine|http://purl.obolibrary.org/obo/CHEBI_3636
CHLOROQUINE|Chloroquine|http://purl.obolibrary.org/obo/CHEBI_3638
CHLOROTHIAZIDE|Chlorothiazide|http://purl.obolibrary.org/obo/CHEBI_3640
CHLOROTRIANISENE|Chlorotrianisene|http://purl.obolibrary.org/obo/CHEBI_3641
CHLORPHENAMINE|Chlorphenamine|http://purl.obolibrary.org/obo/CHEBI_52010
CHLORPHENIRAMINE|Chlorphenamine|http://purl.obolibrary.org/obo/CHEBI_52010
CHLORPROMAZINE|Chlorpromazine|http://purl.obolibrary.org/obo/CHEBI_3647
CHLORPROMAZINUM|Chlorpromazine|http://purl.obolibrary.org/obo/CHEBI_3647
CHLORPROPAMIDE|Chlorpropamide|http://purl.obolibrary.org/obo/CHEBI_3650
CHLORPROTHIXENE|Chlorprothixene|http://purl.obolibrary.org/obo/CHEBI_3651
CHLORTALIDONE|Chlorthalidone|http://purl.obolibrary.org/obo/CHEBI_3654
CHLORZOXAZONE|Chlorzoxazone|http://purl.obolibrary.org/obo/CHEBI_3655
CHOLECALCIFEROL|Cholecalciferol|http://purl.obolibrary.org/obo/CHEBI_28940
CHOLINE CHLORIDE, CARBAMATE|Carbachol|http://purl.obolibrary.org/obo/CHEBI_3385
CHOLINE ION|Choline|http://purl.obolibrary.org/obo/CHEBI_15354
CICLACILLIN|Cyclacillin|http://purl.obolibrary.org/obo/CHEBI_31444
CICLOPIROX|Ciclopirox|http://purl.obolibrary.org/obo/CHEBI_453011
CICLOSPORIN|Cyclosporine|http://purl.obolibrary.org/obo/CHEBI_4031
CIDOFOVIR|Cidofovir|http://purl.obolibrary.org/obo/CHEBI_3696
CILASTATIN|Cilastatin|http://purl.obolibrary.org/obo/CHEBI_3697
CILOSTAZOL|Cilostazol|http://purl.obolibrary.org/obo/CHEBI_31401
CIMETIDINE|Cimetidine|http://purl.obolibrary.org/obo/CHEBI_3699
CINACALCET|Cinacalcet|http://purl.obolibrary.org/obo/CHEBI_48390
CINALUKAST|Cinalukast|http://purl.obolibrary.org/obo/CHEBI_126598
CINCHOCAINE|Cinchocaine|http://purl.obolibrary.org/obo/CHEBI_247956
