10,12-OCTADECADIENOIC ACID, (10E,12Z)-	N151ZM4M27	(10E,12Z)-OCTADECA-10,12-DIENOIC ACID	DB04746
DABIGATRAN ETEXILATE	2E18WX195X	DABIGATRAN ETEXILATE	DB06695
DABRAFENIB	QGP4HA4G1B	DABRAFENIB	DB08912
DACTINOMYCIN	1CC1JFE158	DACTINOMYCIN	DB00970
DAIDZIN	4R2X91A5M5	DAIDZIN	DB02115
DALFAMPRIDINE	BH3B64OKL9	DALFAMPRIDINE	DB06637
DANAZOL	N29QWW3BUO	DANAZOL	DB01406
DANTHRON	Z4XE6IBF3V	DANTRON	DB04816
DANTROLENE	F64QU97QCR	DANTROLENE	DB01219
DAPIPRAZOLE	5RNZ8GJO7K	DAPIPRAZOLE	DB00298
DAPOXETINE	GB2433A4M3	DAPOXETINE	DB04884
DAPSONE	8W5C518302	DAPSONE	DB00250
DARIFENACIN	APG9819VLM	DARIFENACIN	DB00496
DARUNAVIR	YO603Y8113	DARUNAVIR	DB01264
DARUSENTAN	33JD57L6RW	DARUSENTAN	DB04883
DAUNORUBICIN	ZS7284E0ZP	DAUNORUBICIN	DB00694
DAZOXIBEN	09ZFC7974Q	DAZOXIBEN	DB03052
DEBRISOQUIN	X31CDK040E	DEBRISOQUIN	DB04840
DECAMETHONIUM	C1CG1S3T2W	DECAMETHONIUM	DB01245
DECANE	NK85062OIY	DECANE	DB02826
DECITABINE	776B62CQ27	DECITABINE	DB01262
DEFERASIROX	V8G4MOF2V9	DEFERASIROX	DB01609
DEFERIPRONE	2BTY8KH53L	DEFERIPRONE	DB08826
DEFEROXAMINE	J06Y7MXW4D	DEFEROXAMINE	DB00746
DELAVIRDINE	DOL5F9JD3E	DELAVIRDINE	DB00705
DELORAZEPAM	O91W32476G	DELORAZEPAM	DB01511
DEMECARIUM	ILP8XJ8R5K	DEMECARIUM	DB00944
DESERPIDINE	9016E3VB47	DESERPIDINE	DB01089
DESLANOSIDE	YGY317RK75	DESLANOSIDE	DB01078
DESLORATADINE	FVF865388R	DESLORATADINE	DB00967
DESMETHYLPRODINE	07SGC963IR	DESMETHYLPRODINE	DB01478
DESOGESTREL	81K9V7M3A3	DESOGESTREL	DB00304
DESONIDE	J280872D1O	DESONIDE	DB01260
DESOXIMETASONE	4E07GXB7AU	DESOXIMETASONE	DB00547
DESTHIOBIOTIN	71U5JB52KS	D-DETHIOBIOTIN	DB03775
DEXAMETHASONE	7S5I7G3JQL	DEXAMETHASONE	DB01234
DEXBROMPHENIRAMINE	75T64B71RP	DEXBROMPHENIRAMINE	DB00405
DEXFENFLURAMINE	E35R3G56OV	DEXFENFLURAMINE	DB01191
DEXLOXIGLUMIDE	69DY40RH9B	DEXLOXIGLUMIDE	DB04856
DEXMEDETOMIDINE	67VB76HONO	DEXMEDETOMIDINE	DB00633
DEXMETHYLPHENIDATE	M32RH9MFGP	DEXMETHYLPHENIDATE	DB06701
DEXRAZOXANE	048L81261F	DEXRAZOXANE	DB00380
DEXTROAMPHETAMINE	TZ47U051FI	DEXTROAMPHETAMINE	DB01576
DEXTROTHYROXINE	4W9K63FION	DEXTROTHYROXINE	DB00509
DEZOCINE	VHX8K5SV4X	DEZOCINE	DB01209
DIATRIZOIC ACID	5UVC90J1LK	DIATRIZOATE	DB00271
DIAZEPAM	Q3JTX2Q7TU	DIAZEPAM	DB00829
DIAZOXIDE	O5CB12L4FN	DIAZOXIDE	DB01119
DICHLORALPHENAZONE	YYX637R279	DICHLORALPHENAZONE	DB01495
DICHLOROACETIC ACID	9LSH52S3LQ	DICHLOROACETIC ACID	DB08809
DICHLORPHENAMIDE	VVJ6673MHY	DICLOFENAMIDE	DB01144
DICLOXACILLIN	COF19H7WBK	DICLOXACILLIN	DB00485
DICYCLOMINE	4KV4X8IF6V	DICYCLOMINE	DB00804
DIDANOSINE	K3GDH6OH08	DIDANOSINE	DB00900
DIENESTROL	RRW32X4U1F	DIENESTROL	DB00890
DIETHYLCARBAMAZINE	V867Q8X3ZD	DIETHYLCARBAMAZINE	DB00711
DIETHYLENE GLYCOL DIETHYL ETHER	ZH086O935Z	1-ETHOXY-2-(2-ETHOXYETHOXY)ETHANE	DB08357
DIETHYLENE GLYCOL ETHYL METHYL ETHER	LF64ICW5Y3	1-ETHOXY-2-(2-METHOXYETHOXY)ETHANE	DB03508
DIETHYLSTILBESTROL	731DCA35BT	DIETHYLSTILBESTROL	DB00255
DIFENOXIN	3ZZ5BJ9F2Q	DIFENOXIN	DB01501
DIFLORASONE	T2DHJ9645W	DIFLORASONE	DB00223
DIFLUPREDNATE	S8A06QG2QE	DIFLUPREDNATE	DB06781
DIGITOXIN	E90NZP2L9U	DIGITOXIN	DB01396
DIGOXIN	73K4184T59	DIGOXIN	DB00390
DIHOMO-.GAMMA.-LINOLENIC ACID	FC398RK06S	DIHOMO-Γ-LINOLENIC ACID	DB00154
DIHYDROCODEINE	N9I9HDB855	DIHYDROCODEINE	DB01551
DIHYDROERGOTAMINE	436O5HM03C	DIHYDROERGOTAMINE	DB00320
DIHYDROETORPHINE	QQX8S479YV	DIHYDROETORPHINE	DB01450
DIHYDROMORPHINE	C3S5FRP6JW	DIHYDROMORPHINE	DB01565
DIHYDROTACHYSTEROL	R5LM3H112R	DIHYDROTACHYSTEROL	DB01070
DIHYDROXYACETONE	O10DDW6JOO	DIHYDROXYACETONE	DB01775
DILOXANIDE FUROATE	YP4N72IW34	DILOXANIDE	DB08792
DIMENOXADOL	4D65PBX0VK	DIMENOXADOL	DB01461
DIMETHYL SULFOXIDE	YOW8V9698H	DIMETHYL SULFOXIDE	DB01093
DIMETHYLTRYPTAMINE	WUB601BHAA	DIMETHYLTRYPTAMINE	DB01488
DIMINAZENE	Y5G36EEA5Z	DIMINAZENE	DB03608
DINOPROSTONE	K7Q1JQR04M	DINOPROSTONE	DB00917
DINOPROST TROMETHAMINE	CT6BBQ5A68	DINOPROST TROMETHAMINE	DB01160
DIOXAPHETYL BUTYRATE	G751H98FY4	DIOXAPHETYL BUTYRATE	DB01475
DIPHEMANIL METHYLSULFATE	W2ZG23MGYI	DIPHEMANIL METHYLSULFATE	DB00729
DIPHENHYDRAMINE	8GTS82S83M	DIPHENHYDRAMINE	DB01075
DIPHENIDOL	NQO8R319LY	DIPHENIDOL	DB01231
DIPHENOXYLATE	73312P173G	DIPHENOXYLATE	DB01081
DIPHENYLACETIC ACID	658NCZ0NKO	DIPHENYLACETIC ACID	DB03588
DIPHENYLPYRALINE	33361OE3AV	DIPHENYLPYRALINE	DB01146
DOCOSANOL	9G1OE216XY	DOCOSANOL	DB00632
DODECANE	11A386X1QH	DODECANE	DB02771
DOFETILIDE	R4Z9X1N2ND	DOFETILIDE	DB00204
DOMPERIDONE	5587267Z69	DOMPERIDONE	DB01184
DORZOLAMIDE	9JDX055TW1	DORZOLAMIDE	DB00869
DROMOSTANOLONE	7DR7H00HDT	DROSTANOLONE	DB00858
DRONABINOL	7J8897W37S	DRONABINOL	DB00470
DRONEDARONE	JQZ1L091Y2	DRONEDARONE	DB04855
DROPERIDOL	O9U0F09D5X	DROPERIDOL	DB00450
DROSPIRENONE	N295J34A25	DROSPIRENONE	DB01395
DROTAVERINE	98QS4N58TW	DROTAVERINE	DB06751
DROTEBANOL	7RS2Q8MCK8	DROTEBANOL	DB01547
DULOXETINE	O5TNM5N07U	DULOXETINE	DB00476
DUROQUINONE	X0Q8791R69	DUROQUINONE	DB01927
DUTASTERIDE	O0J6XJN02I	DUTASTERIDE	DB01126
DYCLONINE	078A24Q30O	DYCLONINE	DB00645
DYDROGESTERONE	90I02KLE8K	DYDROGESTERONE	DB00378
ECABET	2K02669KWP	ECABET	DB05265
ECGONINE	DX2E9E17AV	ECGONINE	DB01525
ECGONINE METHYL ESTER	Y35FJB3QBJ	ECGONINE METHYL ESTER	DB04688
ECHOTHIOPHATE	0F350BVT6S	ECHOTHIOPHATE	DB01057
EDETIC ACID	9G34HU7RV0	EDETIC ACID	DB00974
EDROPHONIUM	70FP3JLY7N	EDROPHONIUM	DB01010
EFAVIRENZ	JE6H2O27P8	EFAVIRENZ	DB00625
ELACRIDAR	N488540F94	ELACRIDAR	DB04881
ELAIDAMIDE	GOU8K597IT	ELAIDOYLAMIDE	DB03784
ELESCLOMOL	6UK191M53P	ELESCLOMOL	DB05719
ELETRIPTAN	22QOO9B8KI	ELETRIPTAN	DB00216
ELLAGIC ACID	19YRN3ZS9P	ELLAGIC ACID	DB08846
ELSAMITRUCIN	ZTV0FOB6NU	ELSAMITRUCIN	DB05129
ELTROMBOPAG	S56D65XJ9G	ELTROMBOPAG	DB06210
EMBUTRAMIDE	3P4TQG94T1	EMBUTRAMIDE	DB01487
EMEDASTINE	9J1H7Y9OJV	EMEDASTINE	DB01084
EMTRICITABINE	G70B4ETF4S	EMTRICITABINE	DB00879
ENILURACIL	2E2W0W5XIU	ENILURACIL	DB03516
ENOXACIN	325OGW249P	ENOXACIN	DB00467
ENOXIMONE	C7Z4ITI7L7	ENOXIMONE	DB04880
ENPROFYLLINE	DT7DT5E518	ENPROFYLLINE	DB00824
ENTACAPONE	4975G9NM6T	ENTACAPONE	DB00494
ENZALUTAMIDE	93T0T9GKNU	ENZALUTAMIDE	DB08899
EPHEDRINE	GN83C131XS	EPHEDRINE	DB01364
EPINEPHRINE	YKH834O4BH	EPINEPHRINE	DB00668
EPIRUBICIN	3Z8479ZZ5X	EPIRUBICIN	DB00445
EPOPROSTENOL	DCR9Z582X0	EPOPROSTENOL	DB01240
EQUILENIN	W8FTJ17C4J	EQUILENIN	DB03515
EQUILIN	08O86EX0J4	EQUILIN	DB02187
ERGOCALCIFEROL	VS041H42XC	ERGOCALCIFEROL	DB00153
ERGONOVINE	WH41D8433D	ERGONOVINE	DB01253
ERGOTAMINE	PR834Q503T	ERGOTAMINE	DB00696
ERTAPENEM	G32F6EID2H	ERTAPENEM	DB00303
ERYTHRITOL	RA96B954X6	MESO-ERYTHRITOL	DB04481
ERYTHRITYL TETRANITRATE	35X333P19D	ERYTHRITYL TETRANITRATE	DB01613
ESCITALOPRAM	4O4S742ANY	ESCITALOPRAM	DB01175
ESTAZOLAM	36S3EQV54C	ESTAZOLAM	DB01215
ESTRAMUSTINE	35LT29625A	ESTRAMUSTINE	DB01196
ESTRIOL	FB33469R8E	ESTRIOL	DB04573
ESTRONE	2DI9HA706A	ESTRONE	DB00655
ESZOPICLONE	UZX80K71OE	ESZOPICLONE	DB00402
ETHAMBUTOL	8G167061QZ	ETHAMBUTOL	DB00330
ETHANESULFONIC ACID	599310E3U2	ETHANESULFONIC ACID	DB03635
ETHANOLAMINE OLEATE	U4RY8MRX7C	ETHANOLAMINE OLEATE	DB06689
ETHINAMATE	IAN371PP48	ETHINAMATE	DB01031
ETHIONAMIDE	OAY8ORS3CQ	ETHIONAMIDE	DB00609
ETHOXZOLAMIDE	Z52H4811WX	ETHOXZOLAMIDE	DB00311
ETHYLBENZENE	L5I45M5G0O	ETHYLBENZENE	DB01722
ETHYLENE DICHLORIDE	55163IJI47	ETHYLENE DICHLORIDE	DB03733
ETHYLENE GLYCOL MONOETHYL ETHER	IDK7C2HS09	2-ETHOXYETHANOL	DB02249
ETHYLENE GLYCOL MONOMETHYL ETHER	EK1L6XWI56	2-METHOXYETHANOL	DB02806
ETHYLESTRENOL	ADC79EK5Q8	ETHYLESTRENOL	DB01493
ETHYLMERCURITHIOSALICYLIC ACID	4071N4J64W	THIMEROSAL	DB02731
ETHYLMORPHINE	RWO67D87EU	ETHYLMORPHINE	DB01466
ETIDRONIC ACID	M2F465ROXU	ETIDRONIC ACID	DB01077
ETIOCHOLANOLONE	97CGB1M48I	AETIOCHOLANOLONE	DB02854
ETOMIDATE	Z22628B598	ETOMIDATE	DB00292
ETONITAZENE	9U3GT3353T	ETONITAZENE	DB01462
ETONOGESTREL	304GTH6RNH	ETONOGESTREL	DB00294
ETORICOXIB	WRX4NFY03R	ETORICOXIB	DB01628
ETOXERIDINE	RHW35E1G7E	ETOXERIDINE	DB01505
ETRAVIRINE	0C50HW4FO1	ETRAVIRINE	DB06414
ETRETINATE	65M2UDR9AG	ETRETINATE	DB00926
EXEMESTANE	NY22HMQ4BX	EXEMESTANE	DB00990
EZETIMIBE	EOR26LQQ24	EZETIMIBE	DB00973
EZOGABINE	12G01I6BBU	EZOGABINE	DB04953
FAMCICLOVIR	QIC03ANI02	FAMCICLOVIR	DB00426
FAMOTIDINE	5QZO15J2Z8	FAMOTIDINE	DB00927
FARNESYL PYROPHOSPHATE	79W6B01D07	FARNESYL DIPHOSPHATE	DB07780
FAROPENEM MEDOXOMIL	5OK523O4FU	FAROPENEM MEDOXOMIL	DB05659
FENOFIBRATE	U202363UOS	FENOFIBRATE	DB01039
FENRETINIDE	187EJ7QEXL	FENRETINIDE	DB05076
FESOTERODINE	621G617227	FESOTERODINE	DB06702
FILAMINAST	CDD69JC61J	FILAMINAST	DB02660
FINASTERIDE	57GNO57U7G	FINASTERIDE	DB01216
FINGOLIMOD	3QN8BYN5QF	FINGOLIMOD	DB08868
FLAVIN ADENINE DINUCLEOTIDE	ZC44YTI8KK	FLAVIN ADENINE DINUCLEOTIDE	DB03147
FLAVONE	S2V45N7G3B	2-PHENYL-4H-CHROMEN-4-ONE	DB07776
FLAVOXATE	3E74Y80MEY	FLAVOXATE	DB01148
FLIBANSERIN	37JK4STR6Z	FLIBANSERIN	DB04908
FLOXURIDINE	039LU44I5M	FLOXURIDINE	DB00322
FLUCLOXACILLIN	43B2M34G2V	FLUCLOXACILLIN	DB00301
FLUCONAZOLE	8VZV102JFY	FLUCONAZOLE	DB00196
FLUCYTOSINE	D83282DT06	FLUCYTOSINE	DB01099
FLUDARABINE PHOSPHATE	1X9VK9O1SC	FLUDARABINE	DB01073
FLUDIAZEPAM	7F64A2K16Z	FLUDIAZEPAM	DB01567
FLUDROCORTISONE	U0476M545B	FLUDROCORTISONE	DB00687
FLUFENAMIC ACID	60GCX7Y6BH	FLUFENAMIC ACID	DB02266
FLUMAZENIL	40P7XK9392	FLUMAZENIL	DB01205
FLUMETHASONE PIVALATE	0DV09X6F21	FLUMETHASONE PIVALATE	DB00663
FLUNARIZINE	R7PLA2DM0J	FLUNARIZINE	DB04841
FLUNITRAZEPAM	620X0222FQ	FLUNITRAZEPAM	DB01544
FLUOCINOLONE ACETONIDE	0CD5FD6S2M	FLUOCINOLONE ACETONIDE	DB00591
FLUOCINONIDE	2W4A77YPAN	FLUOCINONIDE	DB01047
FLUORESCEIN	TPY09G7XIR	FLUORESCEIN	DB00693
FLUOROMETHOLONE	SV0CSG527L	FLUOROMETHOLONE	DB00324
FLUOXYMESTERONE	9JU12S4YFY	FLUOXYMESTERONE	DB01185
FLUPHENAZINE	S79426A41Z	FLUPHENAZINE	DB00623
FLUPIRTINE	MOH3ET196H	FLUPIRTINE	DB06623
FLURANDRENOLIDE	8EUL29XUQT	FLURANDRENOLIDE	DB00846
FLURAZEPAM	IHP475989U	FLURAZEPAM	DB00690
FLUSPIRILENE	C5QA4GLR9M	FLUSPIRILENE	DB04842
FLUTAMIDE	76W6J0943E	FLUTAMIDE	DB00499
FLUTICASONE FUROATE	JS86977WNV	FLUTICASONE FUROATE	DB08906
FLUTICASONE PROPIONATE	O2GMZ0LF5W	FLUTICASONE PROPIONATE	DB00588
FLUVOXAMINE	O4L1XPO44W	FLUVOXAMINE	DB00176
FOMEPIZOLE	83LCM6L2BY	FOMEPIZOLE	DB01213
FORMALDEHYDE	1HG84L3525	FORMALDEHYDE	DB03843
FORMEBOLONE	Z2MMV08KUQ	FORMEBOLONE	DB01569
FORMESTANE	PUB9T8T355	FORMESTANE	DB08905
FORMIC ACID	0YIW783RG1	FORMIC ACID	DB01942
FORMYLMETHIONINE	PS9357B4XH	N-FORMYLMETHIONINE	DB04464
FOSAMPRENAVIR	WOU1621EEG	FOSAMPRENAVIR	DB01319
FOSAPREPITANT	6L8OF9XRDC	FOSAPREPITANT	DB06717
FOSCARNET	364P9RVW4X	FOSCARNET	DB00529
FOSFOMYCIN	2N81MY12TE	FOSFOMYCIN	DB00828
FOSMIDOMYCIN	5829E3D9I9	FOSMIDOMYCIN	DB02948
FOSPROPOFOL	LZ257RZP7K	FOSPROPOFOL	DB06716
FRAMYCETIN	4BOC774388	FRAMYCETIN	DB00452
FROVATRIPTAN	H82Q2D5WA7	FROVATRIPTAN	DB00998
FURAZABOL	2W07HSP5PX	FURAZABOL	DB01514
FUSIDIC ACID	59XE10C19C	FUSIDIC ACID	DB02703
GABAPENTIN	6CW7F3G59X	GABAPENTIN	DB00996
GABOXADOL	K1M5RVL18S	GABOXADOL	DB06554
GADOPENTETATE DIMEGLUMINE	RH248G8V27	GADOPENTETATE DIMEGLUMINE	DB00789
GADOVERSETAMIDE	RLM74T3Z9D	GADOVERSETAMIDE	DB00538
GALANTAMINE	0D3Q044KCA	GALANTAMINE	DB00674
GALLAMINE TRIETHIODIDE	Q3254X40X2	GALLAMINE TRIETHIODIDE	DB00483
GANCICLOVIR	P9G3CKZ4P5	GANCICLOVIR	DB01004
GEMCABENE	B96UX1DDKS	GEMCABENE	DB05123
GEMFIBROZIL	Q8X02027X3	GEMFIBROZIL	DB01241
GENISTEIN	DH2M523P0H	GENISTEIN	DB01645
GENTAMICIN C1A	AV4A72IATD	GENTAMICIN C1A	DB04729
GESTODENE	1664P6E6MI	GESTODENE	DB06730
GINKGOLIDE A	TAZ2DPR77B	GINKGOLIDE-A	DB06743
GLIPIZIDE	X7WDT95N5C	GLIPIZIDE	DB01067
GLIQUIDONE	C7C2QDD75P	GLIQUIDONE	DB01251
GLISOXEPIDE	H7SC0I332I	GLISOXEPIDE	DB01289
GLUCONOLACTONE	WQ29KQ9POT	GLUCONOLACTONE	DB04564
GLUCURONIC ACID	8A5D83Q4RW	D-GLUCURONIC ACID	DB03156
GLUTARAL	T3C89M417N	PENTANEDIAL	DB03266
GLUTARIC ACID	H849F7N00B	GLUTARIC ACID	DB03553
GLYCEROL PHENYLBUTYRATE	ZH6F1VCV7B	GLYCEROL PHENYLBUTYRATE	DB08909
GLYCOCHENODEOXYCHOLIC ACID	451ZNJ667Y	GLYCOCHENODEOXYCHOLIC ACID	DB02123
GLYCOLIC ACID	0WT12SX38S	HYDROXYACETIC ACID	DB03085
GLYMIDINE	4C5I4BQZ8F	GLYCODIAZINE	DB01382
GOSERELIN	0F65R8P09N	GOSERELIN	DB00014
GRISEOFULVIN	32HRV3E3D5	GRISEOFULVIN	DB00400
GUANABENZ	GGD30112WC	GUANABENZ	DB00629
GUANETHIDINE	ZTI6C33Q2Q	GUANETHIDINE	DB01170
GUANFACINE	30OMY4G3MK	GUANFACINE	DB01018
GUANIDINE	JU58VJ6Y3B	GUANIDINE	DB00536
GUVACINE	41538P325K	GUVACINE	DB08848
HADACIDIN	BFO5P1010A	HADACIDIN	DB02109
HALAZEPAM	320YC168LF	HALAZEPAM	DB00801
HALOPERIDOL	J6292F8L3D	HALOPERIDOL	DB00502
HALOPROGIN	AIU7053OWL	HALOPROGIN	DB00793
HEPTABARBITAL	V10R70ML23	HEPTABARBITAL	DB01354
HEPTANAMIDE	6QX6H3415T	HEPTANAMIDE	DB02641
HEPTANOIC ACID	THE3YNP39D	HEPTANOIC ACID	DB02938
HESPERETIN	Q9Q3D557F1	HESPERETIN	DB01094
HETACILLIN	TN4JSC48CV	HETACILLIN	DB00739
HEXACHLOROPHENE	IWW5FV6NK2	HEXACHLOROPHENE	DB00756
HEXAMETHYLENEDIAMINE	ZRA5J5B2QW	1,6-DIAMINOHEXANE	DB03260
HEXANE	2DDG612ED8	HEXANE	DB02764
HISTAMINE DIHYDROCHLORIDE	3POA0Q644U	HISTAMINE DIHYDROCHLORIDE	DB05381
HISTAMINE PHOSPHATE	QWB37T4WZZ	HISTAMINE PHOSPHATE	DB00667
HYDRALAZINE	26NAK24LS8	HYDRALAZINE	DB01275
HYDROCORTAMATE	Y3N00BK5WK	HYDROCORTAMATE	DB00769
HYDROCORTISONE	WI4X0X7BPJ	HYDROCORTISONE	DB00741
HYDROMORPHINOL	1O00P9X5C1	HYDROMORPHINOL	DB01512
HYDROXYUREA	X6Q56QN5QC	HYDROXYUREA	DB01005
HYOSCYAMINE	PX44XO846X	HYOSCYAMINE	DB00424
IBUDILAST	M0TTH61XC5	IBUDILAST	DB05266
ICOSAPENT ETHYL	6GC8A4PAYH	ICOSAPENT ETHYL	DB08887
IDARUBICIN	ZRP63D75JW	IDARUBICIN	DB01177
IDOXURIDINE	LGP81V5245	IDOXURIDINE	DB00249
IDRONOXIL	995FT1W541	PHENOXODIOL	DB04915
ILOMASTAT	I0403ML141	GM6001	DB02255
ILOPERIDONE	VPO7KJ050N	ILOPERIDONE	DB04946
IMATINIB	BKJ8M8G5HI	IMATINIB	DB00619
IMIPRAMINE	OGG85SX4E4	IMIPRAMINE	DB00458
IMIQUIMOD	P1QW714R7M	IMIQUIMOD	DB00724
IMPLITAPIDE	Q70OH404HR	IMPLITAPIDE	DB04852
INAMRINONE	JUT23379TN	AMRINONE	DB01427
INDACATEROL	8OR09251MQ	INDACATEROL	DB05039
INDECAINIDE	3AZF20DM1T	INDECAINIDE	DB00192
INDENE	67H8Y6LB8A	INDENE	DB02815
INGENOL MEBUTATE	7686S50JAH	INGENOL MEBUTATE	DB05013
IOBENGUANE	35MRW7B4AD	IOBENGUANE	DB06704
IODIPAMIDE	TKQ858A3VW	IODIPAMIDE	DB04711
IPRONIAZID	D892HFI3XA	IPRONIAZID	DB04818
ISATIN	82X95S7M06	ISATIN	DB02095
ISOBUTYLBENZENE	FI94T26KGB	ISOBUTYLBENZENE	DB04078
ISOBUTYRIC ACID	8LL210O1U0	ISOBUTYRIC ACID	DB02531
ISOCARBOXAZID	34237V843T	ISOCARBOXAZID	DB01247
ISOFLUROPHATE	12UHW9R67N	ISOFLUROPHATE	DB00677
ISONIAZID	V83O1VOZ8L	ISONIAZID	DB00951
ISOPROPAMIDE	8B9I31H724	ISOPROPAMIDE	DB01625
ISOQUINOLINE	JGX76Y85M6	ISOQUINOLINE	DB04329
ISOSORBIDE DINITRATE	IA7306519N	ISOSORBIDE DINITRATE	DB00883
ISOSORBIDE MONONITRATE	LX1OH63030	ISOSORBIDE MONONITRATE	DB01020
ISOTRETINOIN	EH28UP18IF	ISOTRETINOIN	DB00982
ISOVALERIC ACID	1BR7X184L5	ISOVALERIC ACID	DB03750
ISOVALINE, D-	IF7U5GXQ28	D-ISOVALINE	DB04171
ITOPRIDE	81BMQ80QRL	ITOPRIDE	DB04924
IVACAFTOR	1Y740ILL1Z	IVACAFTOR	DB08820
JOSAMYCIN	HV13HFS217	JOSAMYCIN	DB01321
KAEMPFEROL	731P2LE49E	KAEMPHEROL	DB01852
KETOBEMIDONE	PQS1L514CF	KETOBEMIDONE	DB06738
KETOTIFEN	X49220T18G	KETOTIFEN	DB00920
KOJIC ACID	6K23F1TT52	5-HYDROXY-2-(HYDROXYMETHYL)-4H-PYRAN-4-ONE	DB01759
LACOSAMIDE	563KS2PQY5	LACOSAMIDE	DB06218
LAMOTRIGINE	U3H27498KS	LAMOTRIGINE	DB00555
LAPATINIB	0VUA21238F	LAPATINIB	DB01259
LATANOPROST	6Z5B6HVF6O	LATANOPROST	DB00654
LATRUNCULIN B	LW7U308U7U	LATRUNCULIN B	DB08080
LAURYL ALCOHOL	178A96NLP2	1-DODECANOL	DB06894
LAURYL SULFATE	DIQ16UC154	DODECYL SULFATE	DB03967
LEFLUNOMIDE	G162GK9U4W	LEFLUNOMIDE	DB01097
LEFRADAFIBAN	0R4888YXR5	LEFRADAFIBAN	DB04863
LESOPITRON	H1CGM4755H	LESOPITRON	DB04970
LETROZOLE	7LKK855W8I	LETROZOLE	DB01006
LEUCINE	GMW67QNF9C	L-LEUCINE	DB00149
LEVALLORPHAN	353613BU4U	LEVALLORPHAN	DB00504
LEVAMISOLE	2880D3468G	LEVAMISOLE	DB00848
LEVOBUNOLOL	G6317AOI7K	LEVOBUNOLOL	DB01210
LEVOMENTHOL	BZ1R15MTK7	MENTHOL	DB00825
LEVOMEPROMAZINE	9G0LAW7ATQ	METHOTRIMEPRAZINE	DB01403
LEVOMILNACIPRAN	UGM0326TXX	LEVOMILNACIPRAN	DB08918
LEVONORDEFRIN	V008L6478D	LEVONORDEFRIN	DB06707
LEVONORGESTREL	5W7SIA7YZW	LEVONORGESTREL	DB00367
LEVORPHANOL	27618J1N2X	LEVORPHANOL	DB00854
LEVOSIMENDAN	C6T4514L4E	LEVOSIMENDAN	DB00922
LEVOTHYROXINE	Q51BO43MG4	LEVOTHYROXINE	DB00451
LEVULINIC ACID	RYX5QG61EI	LAEVULINIC ACID	DB02239
LICOFELONE	P5T6BYS22Y	LICOFELONE	DB04725
LINAGLIPTIN	3X29ZEJ4R2	LINAGLIPTIN	DB08882
LINDANE	59NEE7PCAB	LINDANE	DB00431
LINEZOLID	ISQ9I6J12J	LINEZOLID	DB00601
LINTITRIPT	3YFV00531K	LINTITRIPT	DB04867
LIOTHYRONINE	06LU7C9H1V	LIOTHYRONINE	DB00279
LISDEXAMFETAMINE	H645GUL8KJ	LISDEXAMFETAMINE	DB01255
LOBELINE	D0P25S3P81	LOBELINE	DB05137
LOMITAPIDE	82KUB0583F	LOMITAPIDE	DB08827
LOMUSTINE	7BRF0Z81KG	LOMUSTINE	DB01206
LOPERAMIDE	6X9OC3H4II	LOPERAMIDE	DB00836
LOPINAVIR	2494G1JF75	LOPINAVIR	DB01601
LORATADINE	7AJO3BO7QN	LORATADINE	DB00455
LOTEPREDNOL	Z8CBU6KR16	LOTEPREDNOL	DB00873
LOXAPINE	LER583670J	LOXAPINE	DB00408
LUCANTHONE	FC6D57000M	LUCANTHONE	DB04967
LUMICHROME	99U1UDJ2HM	7,8-DIMETHYLALLOXAZINE	DB04345
LUMIRACOXIB	V91T9204HU	LUMIRACOXIB	DB01283
LURASIDONE	22IC88528T	LURASIDONE	DB08815
LY-294002	31M2U1DVID	2-(4-MORPHOLINYL)-8-PHENYL-4H-1-BENZOPYRAN-4-ONE	DB02656
LYSERGIDE	8NA5SWF92O	LYSERGIC ACID DIETHYLAMIDE	DB04829
MACITENTAN	Z9K9Y9WMVL	MACITENTAN	DB08932
MALONDIALDEHYDE	4Y8F71G49Q	MALONALDEHYDE	DB03057
MANDELIC ACID, (S)-	L0UMW58G3T	(S)-MANDELIC ACID	DB03357
MANNITOL	3OWL53L36A	MANNITOL	DB00742
MAPROTILINE	2U1W68TROF	MAPROTILINE	DB00934
MARIMASTAT	D5EQV23TDS	MARIMASTAT	DB00786
MASOPROCOL	7BO8G1BYQU	MASOPROCOL	DB00179
M-CHLOROPHENOL	Z2Z7M2FTAD	3-CHLOROPHENOL	DB01957
MEBENDAZOLE	81G6I5V05I	MEBENDAZOLE	DB00643
MECHLORETHAMINE	50D9XSG0VR	MECHLORETHAMINE	DB00888
MECLOFENAMIC ACID	48I5LU4ZWD	MECLOFENAMIC ACID	DB00939
MEDROXYPROGESTERONE ACETATE	C2QI4IOI2G	MEDROXYPROGESTERONE ACETATE	DB00603
MEDRYSONE	D2UFC189XF	MEDRYSONE	DB00253
MELPHALAN	Q41OR9510P	MELPHALAN	DB01042
MENADIONE	723JX6CXY5	MENADIONE	DB00170
MEPERIDINE	9E338QE28F	PETHIDINE	DB00454
MEPHENTERMINE	TEZ91L71V4	MEPHENTERMINE	DB01365
MERCURIC IODIDE	R03O05RB0P	MERCURY DIIODIDE	DB04445
MERIMEPODIB	2ZL2BA06FU	MERIMEPODIB	DB04862
MESALAMINE	4Q81I59GXC	MESALAZINE	DB00244
METACRESOL	GGO4Y809LO	M-CRESOL	DB01776
METARAMINOL	818U2PZ2EH	METARAMINOL	DB00610
