FDAPreferredTerm|DrugBankDrugString|DrugBank
BIS(6-AMINOHEXYL)AMINE|BIS(HEXAMETHYLENE)TRIAMINE|http://www.drugbank.ca/drugs/DB04684
BISMUTH SUBSALICYLATE|Bismuth Subsalicylate|http://www.drugbank.ca/drugs/DB01294
BITHIONOL|Bithionol|http://www.drugbank.ca/drugs/DB04813
BOLASTERONE|Bolasterone|http://www.drugbank.ca/drugs/DB01471
BOLDENONE|Boldenone|http://www.drugbank.ca/drugs/DB01541
BOSENTAN ANHYDROUS|Bosentan|http://www.drugbank.ca/drugs/DB00559
BOSUTINIB|Bosutinib|http://www.drugbank.ca/drugs/DB06616
BRECANAVIR|Brecanavir|http://www.drugbank.ca/drugs/DB04887
BRETYLIUM|Bretylium|http://www.drugbank.ca/drugs/DB01158
BRIMONIDINE|Brimonidine|http://www.drugbank.ca/drugs/DB00484
BRINZOLAMIDE|Brinzolamide|http://www.drugbank.ca/drugs/DB01194
BROMAZEPAM|Bromazepam|http://www.drugbank.ca/drugs/DB01558
BROMFENAC|Bromfenac|http://www.drugbank.ca/drugs/DB00963
BROMOACETIC ACID|2-Bromoacetyl Group|http://www.drugbank.ca/drugs/DB02198
BROMOCRIPTINE|Bromocriptine|http://www.drugbank.ca/drugs/DB01200
BROMOFORM|Tribromomethane|http://www.drugbank.ca/drugs/DB03054
BUFORMIN|Buformin|http://www.drugbank.ca/drugs/DB04830
BUFOTENINE|Bufotenine|http://www.drugbank.ca/drugs/DB01445
BUMETANIDE|Bumetanide|http://www.drugbank.ca/drugs/DB00887
BUPRENORPHINE|Buprenorphine|http://www.drugbank.ca/drugs/DB00921
BUSPIRONE|Buspirone|http://www.drugbank.ca/drugs/DB00490
BUSULFAN|Busulfan|http://www.drugbank.ca/drugs/DB01008
BUTALBITAL|Butalbital|http://www.drugbank.ca/drugs/DB00241
BUTANAMIDE|Butyramide|http://www.drugbank.ca/drugs/DB02121
BUTENAFINE|Butenafine|http://www.drugbank.ca/drugs/DB01091
BUTETHAL|Butethal|http://www.drugbank.ca/drugs/DB01353
BUTORPHANOL|Butorphanol|http://www.drugbank.ca/drugs/DB00611
BUTYL ALCOHOL|Butan-1-Ol|http://www.drugbank.ca/drugs/DB02145
BUTYLAMINE|Butylamine|http://www.drugbank.ca/drugs/DB03659
BUTYLBENZENE|N-Butylbenzene|http://www.drugbank.ca/drugs/DB01845
BUTYRIC ACID|Butanoic Acid|http://www.drugbank.ca/drugs/DB03568
BUTYROLACTONE|4-Butyrolactone|http://www.drugbank.ca/drugs/DB04699
CABAZITAXEL|Cabazitaxel|http://www.drugbank.ca/drugs/DB06772
CABERGOLINE|Cabergoline|http://www.drugbank.ca/drugs/DB00248
CACODYLIC ACID|Hydroxydimethylarsine Oxide|http://www.drugbank.ca/drugs/DB02994
CADAVERINE|Pentane-1,5-Diamine|http://www.drugbank.ca/drugs/DB03854
CAFFEIC ACID|3,4-Dihydroxycinnamic Acid|http://www.drugbank.ca/drugs/DB01880
CAFFEINE|Caffeine|http://www.drugbank.ca/drugs/DB00201
CALANOLIDE A|Calanolide A|http://www.drugbank.ca/drugs/DB04886
CALCIFEDIOL ANHYDROUS|Calcidiol|http://www.drugbank.ca/drugs/DB00146
CALCIPOTRIENE|Calcipotriol|http://www.drugbank.ca/drugs/DB02300
CALCIUM ACETATE|Calcium Acetate|http://www.drugbank.ca/drugs/DB00258
CALCIUM CHLORIDE ANHYDROUS|Calcium Chloride|http://www.drugbank.ca/drugs/DB01164
CALUSTERONE|Calusterone|http://www.drugbank.ca/drugs/DB01564
CAMPHOR, (-)-|Camphor|http://www.drugbank.ca/drugs/DB01744
CAMPTOTHECIN|Camptothecin|http://www.drugbank.ca/drugs/DB04690
CANAGLIFLOZIN ANHYDROUS|Canagliflozin|http://www.drugbank.ca/drugs/DB08907
CANDESARTAN|Candesartan|http://www.drugbank.ca/drugs/DB00796
CANDOXATRIL|Candoxatril|http://www.drugbank.ca/drugs/DB00616
CAPECITABINE|Capecitabine|http://www.drugbank.ca/drugs/DB01101
CAPRIC ACID|Decanoic Acid|http://www.drugbank.ca/drugs/DB03600
CAPTOPRIL|Captopril|http://www.drugbank.ca/drugs/DB01197
CARBACHOL|Carbachol|http://www.drugbank.ca/drugs/DB00411
CARBAMAZEPINE|Carbamazepine|http://www.drugbank.ca/drugs/DB00564
CARBAMIC ACID|Carbamic Acid|http://www.drugbank.ca/drugs/DB04261
CARBAZOLE|9H-CARBAZOLE|http://www.drugbank.ca/drugs/DB07301
CARBETOCIN|Carbetocin|http://www.drugbank.ca/drugs/DB01282
CARBIDOPA|Carbidopa|http://www.drugbank.ca/drugs/DB00190
CARBIMAZOLE|Carbimazole|http://www.drugbank.ca/drugs/DB00389
CARBOCYSTEINE|Carboxymethylenecysteine|http://www.drugbank.ca/drugs/DB04339
CARBOPLATIN|Carboplatin|http://www.drugbank.ca/drugs/DB00958
CARBOXIN|Carboxin|http://www.drugbank.ca/drugs/DB04657
CARFENTANIL|Carfentanil|http://www.drugbank.ca/drugs/DB01535
CARFILZOMIB|Carfilzomib |http://www.drugbank.ca/drugs/DB08889
CARGLUMIC ACID|Carglumic Acid|http://www.drugbank.ca/drugs/DB06775
CARMUSTINE|Carmustine|http://www.drugbank.ca/drugs/DB00262
CATHINE|Cathine|http://www.drugbank.ca/drugs/DB01486
CATHINONE|Cathinone|http://www.drugbank.ca/drugs/DB01560
CEFACLOR ANHYDROUS|Cefaclor|http://www.drugbank.ca/drugs/DB00833
CEFADROXIL ANHYDROUS|Cefadroxil|http://www.drugbank.ca/drugs/DB01140
CEFAMANDOLE|Cefamandole|http://www.drugbank.ca/drugs/DB01326
CEFAZOLIN|Cefazolin|http://www.drugbank.ca/drugs/DB01327
CEFDINIR|Cefdinir|http://www.drugbank.ca/drugs/DB00535
CEFDITOREN|Cefditoren|http://www.drugbank.ca/drugs/DB01066
CEFEPIME|Cefepime|http://www.drugbank.ca/drugs/DB01413
CEFIXIME ANHYDROUS|Cefixime|http://www.drugbank.ca/drugs/DB00671
CEFMENOXIME|Cefmenoxime|http://www.drugbank.ca/drugs/DB00267
CEFMETAZOLE|Cefmetazole|http://www.drugbank.ca/drugs/DB00274
CEFONICID|Cefonicid|http://www.drugbank.ca/drugs/DB01328
CEFORANIDE|Ceforanide|http://www.drugbank.ca/drugs/DB00923
CEFOTAXIME|Cefotaxime|http://www.drugbank.ca/drugs/DB00493
CEFOTIAM|Cefotiam|http://www.drugbank.ca/drugs/DB00229
CEFOXITIN|Cefoxitin|http://www.drugbank.ca/drugs/DB01331
CEFPIRAMIDE|Cefpiramide|http://www.drugbank.ca/drugs/DB00430
CEFPODOXIME|Cefpodoxime|http://www.drugbank.ca/drugs/DB01416
CEFPROZIL ANHYDROUS, (E)-|Cefprozil|http://www.drugbank.ca/drugs/DB01150
CEFTIZOXIME|Ceftizoxime|http://www.drugbank.ca/drugs/DB01332
CEFTRIAXONE|Ceftriaxone|http://www.drugbank.ca/drugs/DB01212
CEFUROXIME|Cefuroxime|http://www.drugbank.ca/drugs/DB01112
CELECOXIB|Celecoxib|http://www.drugbank.ca/drugs/DB00482
CEPHACETRILE|Cefacetrile|http://www.drugbank.ca/drugs/DB01414
CEPHALEXIN ANHYDROUS|Cephalexin|http://www.drugbank.ca/drugs/DB00567
CEPHALOGLYCIN ANHYDROUS|Cephaloglycin|http://www.drugbank.ca/drugs/DB00689
CEPHALOTHIN|Cefalotin|http://www.drugbank.ca/drugs/DB00456
CEPHAPIRIN|Cefapirin|http://www.drugbank.ca/drugs/DB01139
CEPHRADINE ANHYDROUS|Cefradine|http://www.drugbank.ca/drugs/DB01333
CERIVASTATIN|Cerivastatin|http://www.drugbank.ca/drugs/DB00439
CERULENIN|Cerulenin|http://www.drugbank.ca/drugs/DB01034
CERULETIDE|Ceruletide|http://www.drugbank.ca/drugs/DB00403
CETRIMONIUM|Cetyl-Trimethyl-Ammonium|http://www.drugbank.ca/drugs/DB01718
CETRORELIX|Cetrorelix|http://www.drugbank.ca/drugs/DB00050
CHENODIOL|Chenodeoxycholic acid|http://www.drugbank.ca/drugs/DB06777
CHLORAL|Tri-Chloro-Acetaldehyde|http://www.drugbank.ca/drugs/DB02650
CHLORAL BETAINE|Chloral betaine|http://www.drugbank.ca/drugs/DB01494
CHLORAL HYDRATE|Chloral hydrate|http://www.drugbank.ca/drugs/DB01563
CHLORAMBUCIL|Chlorambucil|http://www.drugbank.ca/drugs/DB00291
CHLORAMPHENICOL|Chloramphenicol|http://www.drugbank.ca/drugs/DB00446
CHLORAMPHENICOL SUCCINATE|CHLORAMPHENICOL SUCCINATE|http://www.drugbank.ca/drugs/DB07565
CHLORDIAZEPOXIDE|Chlordiazepoxide|http://www.drugbank.ca/drugs/DB00475
CHLORHEXIDINE|Chlorhexidine|http://www.drugbank.ca/drugs/DB00878
CHLOROPROCAINE|Chloroprocaine|http://www.drugbank.ca/drugs/DB01161
CHLOROPYRAMINE|Chloropyramine|http://www.drugbank.ca/drugs/DB08800
CHLOROTHIAZIDE|Chlorothiazide|http://www.drugbank.ca/drugs/DB00880
CHLOROTRIANISENE|Chlorotrianisene|http://www.drugbank.ca/drugs/DB00269
CHLOROXINE|Chloroxine|http://www.drugbank.ca/drugs/DB01243
CHLORPHENTERMINE|Chlorphentermine|http://www.drugbank.ca/drugs/DB01556
CHLORPROMAZINE|Chlorpromazine|http://www.drugbank.ca/drugs/DB00477
CHLORPROPAMIDE|Chlorpropamide|http://www.drugbank.ca/drugs/DB00672
CHLORZOXAZONE|Chlorzoxazone|http://www.drugbank.ca/drugs/DB00356
CHOLECALCIFEROL|Cholecalciferol|http://www.drugbank.ca/drugs/DB00169
CHOLIC ACID|Cholic Acid|http://www.drugbank.ca/drugs/DB02659
CHOLINE|Choline|http://www.drugbank.ca/drugs/DB00122
CHOLINE MAGNESIUM TRISALICYLATE|Trisalicylate-choline|http://www.drugbank.ca/drugs/DB01401
CICLOPIROX|Ciclopirox|http://www.drugbank.ca/drugs/DB01188
CIDOFOVIR ANHYDROUS|Cidofovir|http://www.drugbank.ca/drugs/DB00369
CIDOXEPIN|Doxepin|http://www.drugbank.ca/drugs/DB01142
CILANSETRON|Cilansetron|http://www.drugbank.ca/drugs/DB04885
CILASTATIN|Cilastatin|http://www.drugbank.ca/drugs/DB01597
CILAZAPRIL ANHYDROUS|Cilazapril|http://www.drugbank.ca/drugs/DB01340
CILOSTAZOL|Cilostazol|http://www.drugbank.ca/drugs/DB01166
CIMETIDINE|Cimetidine|http://www.drugbank.ca/drugs/DB00501
CIMICOXIB|Cimicoxib|http://www.drugbank.ca/drugs/DB05095
CINACALCET|Cinacalcet|http://www.drugbank.ca/drugs/DB01012
CINALUKAST|Cinalukast|http://www.drugbank.ca/drugs/DB00587
CINNARIZINE|Cinnarizine|http://www.drugbank.ca/drugs/DB00568
CINOXACIN|Cinoxacin|http://www.drugbank.ca/drugs/DB00827
CISATRACURIUM BESYLATE|Cisatracurium Besylate|http://www.drugbank.ca/drugs/DB00565
CITRACONIC ACID|Citraconic acid|http://www.drugbank.ca/drugs/DB04734
CITRULLINE|L-Citrulline|http://www.drugbank.ca/drugs/DB00155
CLADRIBINE|Cladribine|http://www.drugbank.ca/drugs/DB00242
CLARITHROMYCIN|Clarithromycin|http://www.drugbank.ca/drugs/DB01211
CLAVULANIC ACID|Clavulanate|http://www.drugbank.ca/drugs/DB00766
CLEMASTINE|Clemastine|http://www.drugbank.ca/drugs/DB00283
CLIOQUINOL|Clioquinol|http://www.drugbank.ca/drugs/DB04815
CLOBAZAM|Clobazam|http://www.drugbank.ca/drugs/DB00349
CLOCORTOLONE|Clocortolone|http://www.drugbank.ca/drugs/DB00838
CLODRONIC ACID|Clodronate|http://www.drugbank.ca/drugs/DB00720
CLOFARABINE|Clofarabine|http://www.drugbank.ca/drugs/DB00631
CLOFIBRATE|Clofibrate|http://www.drugbank.ca/drugs/DB00636
CLOMIPRAMINE|Clomipramine|http://www.drugbank.ca/drugs/DB01242
CLOMOCYCLINE|Clomocycline|http://www.drugbank.ca/drugs/DB00453
CLONAZEPAM|Clonazepam|http://www.drugbank.ca/drugs/DB01068
CLONIDINE|Clonidine|http://www.drugbank.ca/drugs/DB00575
CLONITAZENE|Clonitazene|http://www.drugbank.ca/drugs/DB01523
CLOPIDOGREL|Clopidogrel|http://www.drugbank.ca/drugs/DB00758
CLORTERMINE|Clortermine|http://www.drugbank.ca/drugs/DB01527
CLOSTEBOL|Clostebol|http://www.drugbank.ca/drugs/DB01521
CLOTIAZEPAM|Clotiazepam|http://www.drugbank.ca/drugs/DB01559
CLOTRIMAZOLE|Clotrimazole|http://www.drugbank.ca/drugs/DB00257
CLOXACILLIN|Cloxacillin|http://www.drugbank.ca/drugs/DB01147
CLOZAPINE|Clozapine|http://www.drugbank.ca/drugs/DB00363
COCAINE|Cocaine|http://www.drugbank.ca/drugs/DB00907
CODEINE ANHYDROUS|Codeine|http://www.drugbank.ca/drugs/DB00318
COLFORSIN|Forskolin|http://www.drugbank.ca/drugs/DB02587
CONIVAPTAN|Conivaptan|http://www.drugbank.ca/drugs/DB00872
CORTISONE ACETATE|Cortisone acetate|http://www.drugbank.ca/drugs/DB01380
CREATINE|Creatine|http://www.drugbank.ca/drugs/DB00148
CROMOLYN|Cromoglicic acid|http://www.drugbank.ca/drugs/DB01003
CROTONALDEHYDE, (2E)-|Crotonaldehyde|http://www.drugbank.ca/drugs/DB04381
CROTONIC ACID|Butenoic Acid|http://www.drugbank.ca/drugs/DB02074
CUMIDINE|Para-Isopropylaniline|http://www.drugbank.ca/drugs/DB02114
CYANAMIDE|Cyanamide|http://www.drugbank.ca/drugs/DB02679
CYCLACILLIN|Cyclacillin|http://www.drugbank.ca/drugs/DB01000
CYCLIZINE|Cyclizine|http://www.drugbank.ca/drugs/DB01176
CYCLOBENZAPRINE|Cyclobenzaprine|http://www.drugbank.ca/drugs/DB00924
CYCLOHEXANE|Cyclohexane|http://www.drugbank.ca/drugs/DB03561
CYCLOHEXANEPROPANOIC ACID|Cyclohexane Propionic Acid|http://www.drugbank.ca/drugs/DB02242
CYCLOHEXANOL|Cyclohexanol|http://www.drugbank.ca/drugs/DB03703
CYCLOHEXANONE|Cyclohexanone|http://www.drugbank.ca/drugs/DB02060
CYCLOLEUCINE|Cycloleucine|http://www.drugbank.ca/drugs/DB04620
CYCLOSERINE|Cycloserine|http://www.drugbank.ca/drugs/DB00260
CYPROHEPTADINE|Cyproheptadine|http://www.drugbank.ca/drugs/DB00434
CYPROTERONE|Cyproterone|http://www.drugbank.ca/drugs/DB04839
CYSTEAMINE|Cysteamine|http://www.drugbank.ca/drugs/DB00847
CYSTEIC ACID, L-|Cysteinesulfonic Acid|http://www.drugbank.ca/drugs/DB03661
CYSTEINE|D-Cysteine|http://www.drugbank.ca/drugs/DB03201
CYSTEINESULFENIC ACID|S-Hydroxycysteine|http://www.drugbank.ca/drugs/DB01915
CYTARABINE|Cytarabine|http://www.drugbank.ca/drugs/DB00987
DABIGATRAN ETEXILATE|Dabigatran etexilate|http://www.drugbank.ca/drugs/DB06695
DABRAFENIB|Dabrafenib|http://www.drugbank.ca/drugs/DB08912
DACTINOMYCIN|Dactinomycin|http://www.drugbank.ca/drugs/DB00970
DAIDZIN|Daidzin|http://www.drugbank.ca/drugs/DB02115
DALFAMPRIDINE|Dalfampridine |http://www.drugbank.ca/drugs/DB06637
DANAZOL|Danazol|http://www.drugbank.ca/drugs/DB01406
DANTHRON|Dantron|http://www.drugbank.ca/drugs/DB04816
DANTROLENE|Dantrolene|http://www.drugbank.ca/drugs/DB01219
DAPIPRAZOLE|Dapiprazole|http://www.drugbank.ca/drugs/DB00298
DAPOXETINE|Dapoxetine|http://www.drugbank.ca/drugs/DB04884
DAPSONE|Dapsone|http://www.drugbank.ca/drugs/DB00250
DARIFENACIN|Darifenacin|http://www.drugbank.ca/drugs/DB00496
DARUNAVIR|Darunavir|http://www.drugbank.ca/drugs/DB01264
DARUSENTAN|Darusentan|http://www.drugbank.ca/drugs/DB04883
DASATINIB ANHYDROUS|Dasatinib|http://www.drugbank.ca/drugs/DB01254
DAUNORUBICIN|Daunorubicin|http://www.drugbank.ca/drugs/DB00694
DAZOXIBEN|Dazoxiben|http://www.drugbank.ca/drugs/DB03052
DEBRISOQUIN|Debrisoquin|http://www.drugbank.ca/drugs/DB04840
DECAMETHONIUM|Decamethonium|http://www.drugbank.ca/drugs/DB01245
DECANE|Decane|http://www.drugbank.ca/drugs/DB02826
DECITABINE|Decitabine|http://www.drugbank.ca/drugs/DB01262
DECYLAMINE OXIDE|Decylamine-N,N-Dimethyl-N-Oxide|http://www.drugbank.ca/drugs/DB02613
DEFERASIROX|Deferasirox|http://www.drugbank.ca/drugs/DB01609
DEFERIPRONE|Deferiprone|http://www.drugbank.ca/drugs/DB08826
DEFEROXAMINE|Deferoxamine|http://www.drugbank.ca/drugs/DB00746
DEHYDROALANINE|2,3-Didehydroalanine|http://www.drugbank.ca/drugs/DB02688
DELAVIRDINE|Delavirdine|http://www.drugbank.ca/drugs/DB00705
DELORAZEPAM|Delorazepam|http://www.drugbank.ca/drugs/DB01511
DEMECARIUM|Demecarium|http://www.drugbank.ca/drugs/DB00944
DEMECLOCYCLINE|Demeclocycline|http://www.drugbank.ca/drugs/DB00618
DEOXYGUANOSINE 5'-MONOPHOSPHATE|2'-Deoxyguanosine-5'-Monophosphate|http://www.drugbank.ca/drugs/DB04457
DEQUALINIUM|Dequadin|http://www.drugbank.ca/drugs/DB04209
DESERPIDINE|Deserpidine|http://www.drugbank.ca/drugs/DB01089
DESIPRAMINE|Desipramine|http://www.drugbank.ca/drugs/DB01151
DESLANOSIDE|Deslanoside|http://www.drugbank.ca/drugs/DB01078
DESLORATADINE|Desloratadine|http://www.drugbank.ca/drugs/DB00967
DESMETHYLPRODINE|desmethylprodine|http://www.drugbank.ca/drugs/DB01478
DESOGESTREL|Desogestrel|http://www.drugbank.ca/drugs/DB00304
DESONIDE|Desonide|http://www.drugbank.ca/drugs/DB01260
DESOXIMETASONE|Desoximetasone|http://www.drugbank.ca/drugs/DB00547
DEXAMETHASONE|Dexamethasone|http://www.drugbank.ca/drugs/DB01234
DEXBROMPHENIRAMINE|Dexbrompheniramine|http://www.drugbank.ca/drugs/DB00405
DEXFENFLURAMINE|Dexfenfluramine|http://www.drugbank.ca/drugs/DB01191
DEXFOSFOSERINE|Phosphonoserine|http://www.drugbank.ca/drugs/DB04522
DEXLOXIGLUMIDE|Dexloxiglumide|http://www.drugbank.ca/drugs/DB04856
DEXMEDETOMIDINE|Dexmedetomidine|http://www.drugbank.ca/drugs/DB00633
DEXMETHYLPHENIDATE|Dexmethylphenidate|http://www.drugbank.ca/drugs/DB06701
DEXRAZOXANE|Dexrazoxane|http://www.drugbank.ca/drugs/DB00380
DEXTROAMPHETAMINE|Dextroamphetamine|http://www.drugbank.ca/drugs/DB01576
DEXTROTHYROXINE|Dextrothyroxine|http://www.drugbank.ca/drugs/DB00509
DEZOCINE|Dezocine|http://www.drugbank.ca/drugs/DB01209
DIACETYLMORPHINE|Heroin|http://www.drugbank.ca/drugs/DB01452
DIATRIZOIC ACID|Diatrizoate|http://www.drugbank.ca/drugs/DB00271
DIAZEPAM|Diazepam|http://www.drugbank.ca/drugs/DB00829
DIAZOXIDE|Diazoxide|http://www.drugbank.ca/drugs/DB01119
DIBROMOTYROSINE|3,5 DIBROMOTYROSINE|http://www.drugbank.ca/drugs/DB07637
DIBUCAINE|Cinchocaine|http://www.drugbank.ca/drugs/DB00527
DICHLORALPHENAZONE|Dichloralphenazone|http://www.drugbank.ca/drugs/DB01495
DICHLOROACETIC ACID|Dichloroacetic Acid|http://www.drugbank.ca/drugs/DB08809
DICHLORPHENAMIDE|Dichlorphenamide|http://www.drugbank.ca/drugs/DB01144
DICLOFENAC|Diclofenac|http://www.drugbank.ca/drugs/DB00586
DICLOXACILLIN|Dicloxacillin|http://www.drugbank.ca/drugs/DB00485
DICUMAROL|Dicoumarol|http://www.drugbank.ca/drugs/DB00266
DICYCLOMINE|Dicyclomine|http://www.drugbank.ca/drugs/DB00804
DIDANOSINE|Didanosine|http://www.drugbank.ca/drugs/DB00900
DIDECYLDIMONIUM|Didecyl-Dimethyl-Ammonium|http://www.drugbank.ca/drugs/DB04221
DIENESTROL|Dienestrol|http://www.drugbank.ca/drugs/DB00890
DIETHYL PHOSPHITE|Diethylphosphono Group|http://www.drugbank.ca/drugs/DB02811
DIETHYLCARBAMAZINE|Diethylcarbamazine|http://www.drugbank.ca/drugs/DB00711
DIETHYLSTILBESTROL|Diethylstilbestrol|http://www.drugbank.ca/drugs/DB00255
DIFENOXIN|Difenoxin|http://www.drugbank.ca/drugs/DB01501
DIFLORASONE|Diflorasone|http://www.drugbank.ca/drugs/DB00223
DIFLUNISAL|Diflunisal|http://www.drugbank.ca/drugs/DB00861
DIFLUPREDNATE|Difluprednate|http://www.drugbank.ca/drugs/DB06781
DIGITOXIN|Digitoxin|http://www.drugbank.ca/drugs/DB01396
DIGOXIN|Digoxin|http://www.drugbank.ca/drugs/DB00390
DIHYDROANDROSTENEDIONE|Androstanedione|http://www.drugbank.ca/drugs/DB01561
DIHYDROCODEINE|Dihydrocodeine|http://www.drugbank.ca/drugs/DB01551
DIHYDROERGOTAMINE|Dihydroergotamine|http://www.drugbank.ca/drugs/DB00320
DIHYDROETORPHINE|Dihydroetorphine|http://www.drugbank.ca/drugs/DB01450
DIHYDROMORPHINE|Dihydromorphine|http://www.drugbank.ca/drugs/DB01565
DIHYDROQUERCETIN|(2s,3s)-Trans-Dihydroquercetin|http://www.drugbank.ca/drugs/DB02224
DIHYDROTACHYSTEROL|Dihydrotachysterol|http://www.drugbank.ca/drugs/DB01070
DIHYDROURACIL|3,4-Dihydrouracil|http://www.drugbank.ca/drugs/DB01849
DIHYDROXYACETONE|Dihydroxyacetone|http://www.drugbank.ca/drugs/DB01775
DIIODOTYROSINE|3,5-Diiodotyrosine|http://www.drugbank.ca/drugs/DB03374
DIISOPROPYL METHYLPHOSPHONATE|Methylphosphonic Acid Diisopropyl Ester|http://www.drugbank.ca/drugs/DB02127
DILOXANIDE FUROATE|Diloxanide|http://www.drugbank.ca/drugs/DB08792
DILTIAZEM|Diltiazem|http://www.drugbank.ca/drugs/DB00343
DIMENOXADOL|Dimenoxadol|http://www.drugbank.ca/drugs/DB01461
DIMETHYL SULFOXIDE|Dimethyl sulfoxide|http://www.drugbank.ca/drugs/DB01093
DIMETHYLTRYPTAMINE|Dimethyltryptamine|http://www.drugbank.ca/drugs/DB01488
DIMINAZENE|Diminazene|http://www.drugbank.ca/drugs/DB03608
DINOPROST TROMETHAMINE|Dinoprost Tromethamine|http://www.drugbank.ca/drugs/DB01160
DINOPROSTONE|Dinoprostone|http://www.drugbank.ca/drugs/DB00917
DIOXANE|1,4-Diethylene Dioxide|http://www.drugbank.ca/drugs/DB03316
DIOXAPHETYL BUTYRATE|Dioxaphetyl butyrate|http://www.drugbank.ca/drugs/DB01475
DIPHEMANIL METHYLSULFATE|Diphemanil Methylsulfate|http://www.drugbank.ca/drugs/DB00729
DIPHENHYDRAMINE|Diphenhydramine|http://www.drugbank.ca/drugs/DB01075
DIPHENIDOL|Diphenidol|http://www.drugbank.ca/drugs/DB01231
DIPHENOXYLATE|Diphenoxylate|http://www.drugbank.ca/drugs/DB01081
DIPHENYLACETIC ACID|Diphenylacetic Acid|http://www.drugbank.ca/drugs/DB03588
DIPHENYLPYRALINE|Diphenylpyraline|http://www.drugbank.ca/drugs/DB01146
DIPYRIDAMOLE|Dipyridamole|http://www.drugbank.ca/drugs/DB00975
DISULFIRAM|Disulfiram|http://www.drugbank.ca/drugs/DB00822
DITIOCARB|Diethylcarbamodithioic Acid|http://www.drugbank.ca/drugs/DB02520
DOCETAXEL ANHYDROUS|Docetaxel|http://www.drugbank.ca/drugs/DB01248
DOCOSANOL|Docosanol|http://www.drugbank.ca/drugs/DB00632
DODECANE|Dodecane|http://www.drugbank.ca/drugs/DB02771
DODECYL ETHYLENEGLYCOL MONOETHER|Polidocanol|http://www.drugbank.ca/drugs/DB06811
DOFETILIDE|Dofetilide|http://www.drugbank.ca/drugs/DB00204
DOMPERIDONE|Domperidone|http://www.drugbank.ca/drugs/DB01184
DOPAMINE|Dopamine|http://www.drugbank.ca/drugs/DB00988
DORZOLAMIDE|Dorzolamide|http://www.drugbank.ca/drugs/DB00869
DOXORUBICIN|Doxorubicin|http://www.drugbank.ca/drugs/DB00997
DOXYCYCLINE ANHYDROUS|Doxycycline|http://www.drugbank.ca/drugs/DB00254
DROMOSTANOLONE|Drostanolone|http://www.drugbank.ca/drugs/DB00858
DRONABINOL|Dronabinol|http://www.drugbank.ca/drugs/DB00470
DRONEDARONE|Dronedarone|http://www.drugbank.ca/drugs/DB04855
DROPERIDOL|Droperidol|http://www.drugbank.ca/drugs/DB00450
DROSPIRENONE|Drospirenone|http://www.drugbank.ca/drugs/DB01395
DROTAVERINE|Drotaverine|http://www.drugbank.ca/drugs/DB06751
DROTEBANOL|Drotebanol|http://www.drugbank.ca/drugs/DB01547
DULOXETINE|Duloxetine|http://www.drugbank.ca/drugs/DB00476
DUROQUINONE|Duroquinone|http://www.drugbank.ca/drugs/DB01927
DUTASTERIDE|Dutasteride|http://www.drugbank.ca/drugs/DB01126
DYCLONINE|Dyclonine|http://www.drugbank.ca/drugs/DB00645
DYDROGESTERONE|Dydrogesterone|http://www.drugbank.ca/drugs/DB00378
ECABET|Ecabet|http://www.drugbank.ca/drugs/DB05265
ECGONINE|Ecgonine|http://www.drugbank.ca/drugs/DB01525
ECGONINE METHYL ESTER|ECGONINE METHYL ESTER|http://www.drugbank.ca/drugs/DB04688
ECHOTHIOPHATE|Echothiophate|http://www.drugbank.ca/drugs/DB01057
EDETIC ACID|Edetic Acid|http://www.drugbank.ca/drugs/DB00974
EDROPHONIUM|Edrophonium|http://www.drugbank.ca/drugs/DB01010
EFAVIRENZ|Efavirenz|http://www.drugbank.ca/drugs/DB00625
ELACRIDAR|Elacridar|http://www.drugbank.ca/drugs/DB04881
ELAIDAMIDE|Elaidoylamide|http://www.drugbank.ca/drugs/DB03784
ELAIDIC ACID|Oleic Acid|http://www.drugbank.ca/drugs/DB04224
ELESCLOMOL|Elesclomol|http://www.drugbank.ca/drugs/DB05719
ELETRIPTAN|Eletriptan|http://www.drugbank.ca/drugs/DB00216
ELLAGIC ACID|Ellagic Acid|http://www.drugbank.ca/drugs/DB08846
ELSAMITRUCIN|Elsamitrucin|http://www.drugbank.ca/drugs/DB05129
ELTROMBOPAG|Eltrombopag|http://www.drugbank.ca/drugs/DB06210
EMBUTRAMIDE|Embutramide|http://www.drugbank.ca/drugs/DB01487
EMEDASTINE|Emedastine|http://www.drugbank.ca/drugs/DB01084
EMTRICITABINE|Emtricitabine|http://www.drugbank.ca/drugs/DB00879
ENALAPRIL|Enalapril|http://www.drugbank.ca/drugs/DB00584
ENCLOMIPHENE|Clomifene|http://www.drugbank.ca/drugs/DB00882
ENILURACIL|Eniluracil|http://www.drugbank.ca/drugs/DB03516
ENOXACIN|Enoxacin|http://www.drugbank.ca/drugs/DB00467
ENOXIMONE|Enoximone|http://www.drugbank.ca/drugs/DB04880
ENPROFYLLINE|Enprofylline|http://www.drugbank.ca/drugs/DB00824
ENTACAPONE|Entacapone|http://www.drugbank.ca/drugs/DB00494
ENTECAVIR ANHYDROUS|Entecavir|http://www.drugbank.ca/drugs/DB00442
ENZALUTAMIDE|Enzalutamide |http://www.drugbank.ca/drugs/DB08899
EPHEDRINE|Ephedrine|http://www.drugbank.ca/drugs/DB01364
EPINEPHRINE|Epinephrine|http://www.drugbank.ca/drugs/DB00668
